itr,N1,N2,d1,d2,freq,move_tx,move_rx,offset_tx,offset_rx,per,space1,space2,space3,space4,l1,l2,h1,w1,I1,I2,Lmt,Lmr,k,Llt,Llr,AA,AB,AC,I1,I2,AF,AG,AH,copperloss_tx,copperloss_rx
0,12,18,1.630932697,1.630389822,40004.29516,2.3091188,2.395173568,-3.434254527,-0.346880623,3500.518513,1.941803504,13.04107587,2.152941437,7.045018765,11.91797037,20.55623118,25.10531533,98.49125264,12.71396519,28.595354,20.16256874,45.3482279,0.999208012,12.73412776,28.64070223,19.08237121,147.1074172,330.8098619,4.36117 + 0i,3.17741 + 0i,0.1471074172 + 3.200779037i,0.3308098619 + 7.198966514i,0.2203912989 + 4.796437959i,1.252003808,1.616967866
1,12,18,1.630820184,1.630571345,40004.33981,2.309015248,2.398168764,-3.435278257,-0.273032437,3500.564893,2.709071427,9.259305042,1.901168775,6.834041899,8.000979063,17.93313827,25.12651417,31.85693014,3.128092194,7.034133239,5.734553696,12.89527682,0.999084637,3.133826747,7.047028516,4.69507773,36.19707343,81.35913885,4.35997 + 0i,3.17797 + 0i,36.19707343 + 787.7020197i,0.08135913885 + 1.771303599i,0.05416346919 + 1.180129761i,0.666064339,0.938779151
2,12,18,1.630843441,1.63045739,40008.74203,2.31021931,2.419495535,-1.371351953,-0.346530477,3500.524346,2.743831504,11.97062578,2.125178655,6.836952648,8.137916911,18.16935351,25.12382235,46.01952818,4.561373233,10.25916329,8.752489733,19.68556766,0.999041965,4.570125723,10.27884886,6.847310864,52.79095559,118.7044616,4.36225 + 0i,3.17799 + 0i,0.05279095559 + 1.148848899i,0.1187044616 + 2.58392108i,0.07904679074 + 1.721293028i,0.800625784,1.003859789
3,12,18,1.630901237,1.630645159,40004.33293,2.309423194,2.419103557,-3.440500437,-0.346744851,3500.563101,2.022782985,9.415859199,2.125308515,6.83647609,8.013642064,17.95826955,25.11229327,52.06511166,5.124316858,11.52358355,8.37900824,18.84274611,0.999183428,5.132695866,11.5424263,7.690711909,59.2974846,133.2932952,4.35997 + 0i,3.17814 + 0i,0.0592974846 + 1.290126906i,0.1332932952 + 2.901242371i,0.08877109517 + 1.933096099i,0.834537186,1.165713485
4,12,18,1.630905035,1.630639797,40008.87422,2.309768012,2.419309148,-3.145517075,-0.482312073,3500.576235,1.912159115,11.59755018,2.065411623,6.837011777,8.014793415,18.21089448,25.12651417,60.69929531,5.941587872,13.36226092,11.68355413,26.27558527,0.999018246,5.953271427,13.38853651,8.919033925,68.77606868,154.6310501,4.36017 + 0i,3.17805 + 0i,0.06877606868 + 1.496552247i,0.1546310501 + 3.365652759i,0.1029858975 + 2.242095027i,0.899008747,1.168669885
5,12,18,1.630841706,1.630581921,40004.29629,2.308759223,2.475528453,-3.486308857,-0.3502571,3500.587374,1.945124528,9.396631152,2.119373297,7.032508763,10.13058755,17.9428489,25.43643382,94.46357359,11.17035226,25.12244138,13.38567435,30.10476406,0.999401377,11.18373794,25.15254614,16.76194502,129.2299706,290.5505129,4.35947 + 0i,3.17773 + 0i,0.1292299706 + 2.811081813i,0.2905505129 + 6.322203312i,0.1935706369 + 4.213188744i,1.259167883,1.728151442
6,12,18,1.630896629,1.630398163,40005.29402,2.308857669,2.429795121,-2.939139739,-0.351397697,3500.530692,2.545070693,11.94844517,1.977929363,6.816545263,8.017747816,18.17517998,25.11412214,70.30047496,6.891965197,15.50065148,12.56921982,28.2693093,0.999089371,6.904534416,15.52892079,10.34527823,79.76439198,179.3533816,4.36058 + 0i,3.17816 + 0i,0.07976439198 + 1.735528436i,0.1793533816 + 3.903360021i,0.1194529945 + 2.600396125i,0.994264243,1.256677702
7,12,18,1.630896659,1.630640678,40004.14429,2.297493858,2.419812025,-3.438120689,-0.346571377,3500.557458,1.995982082,9.241849735,2.013786729,6.836575755,8.006148488,17.93811696,25.11245443,41.80797892,4.108067786,9.237803408,7.197034274,16.18395587,0.999125186,4.11526482,9.253987364,6.165712236,47.53885154,106.8532621,4.36026 + 0i,3.17813 + 0i,0.04753885154 + 1.034386017i,0.1068532621 + 2.326021665i,0.07115415555 + 1.549773052i,0.760136473,1.045896942
8,12,18,1.630900134,1.630611432,40005.88613,2.298182623,2.335489434,-2.308637633,-0.349891075,3500.569619,2.451654707,11.97190289,2.008918615,6.837541854,8.01277134,18.18335166,25.14915479,56.15811296,5.490664581,12.34932155,10.6399885,23.93091715,0.99903249,5.501304569,12.37325247,8.242413424,63.54586598,142.8945305,4.35851 + 0i,3.17809 + 0i,0.06354586598 + 1.3828321i,0.1428945305 + 3.110195132i,0.09516020162 + 2.071849271i,0.880392623,1.127267198
9,12,18,1.630880294,1.63055491,40004.2941,2.309347401,2.428633887,-3.435792902,-0.346541875,3500.564963,1.94179775,9.515270183,2.06335242,6.836009617,8.01871151,17.93007116,25.11191766,33.20523422,3.265307151,7.342397937,6.490536078,14.59467563,0.999007616,3.271797687,7.356992612,4.901310089,37.78933637,84.93498379,4.35992 + 0i,3.17739 + 0i,37.78933637 + 822.3807214i,0.08493498379 + 1.849212412i,0.05655010836 + 1.231965822i,0.677068577,0.929147423
