itr,N1,N2,d1,d2,freq,move_tx,move_rx,offset_tx,offset_rx,per,space1,space2,space3,space4,l1,l2,h1,w1,I1,I2,Lmt,Lmr,k,Y,Z,AA,AB,AC,I1,I2,AF,AG,AH,copperloss_tx,copperloss_rx
0,14,20,1.629085575,1.629677773,39996.31921,2.356622638,2.840643527,4.940230681,0.245665923,3500.5951,3.705119937,8.85024643,4.271557416,9.000026766,8.013476121,15.00464387,33.30260709,20.11034238,2.445111998,4.985434696,5.481081042,11.17559098,0.998881057,2.450593079,4.996610287,3.49532141,28.27837795,57.64650576,4.35104 + 0i,3.16177 + 0i,28.27837795 + 615.844542i,0.05764650576 + 1.255669577i,40.27418728 + 878.3892486i,0.761300707,0.908461019
1,14,20,1.629174456,1.629684765,39995.0126,2.731038605,2.958204114,-2.285289401,0.345980343,3500.782031,4.558954384,14.15474392,4.357996474,9.194409072,15.23144498,20.53282616,35.31349105,99.78077939,18.15759117,37.04663594,19.33934315,39.45774517,0.999467883,18.17693051,37.08609369,25.94983867,209.8770921,428.1959543,4.35159 + 0i,3.16027 + 0i,0.2098770921 + 4.567791302i,0.4281959543 + 9.319589801i,0.2995795338 + 6.521092619i,1.546577616,1.829040947
2,14,20,1.629129743,1.630007582,39994.10302,2.729216839,2.954440398,3.44073125,0.210662575,3500.875492,3.297837796,14.11665772,4.276431945,9.003274411,15.16683148,20.51015308,34.90126209,99.69306259,18.17458263,37.07952347,21.86681608,44.61236533,0.999398965,18.19644944,37.12413584,25.97528969,210.0949431,428.622008,4.35116 + 0i,3.16013 + 0i,0.2100949431 + 4.57259234i,0.428622008 + 9.328937477i,0.2998827267 + 6.527339909i,1.530625279,1.838429045
3,14,20,1.629213767,1.629714021,39996.26035,2.369865847,2.96188502,5.359691155,-0.25539213,3500.837291,4.808731714,9.561238538,4.287496738,9.059684297,15.20406721,15.74376326,34.88002965,99.89299547,19.55776941,39.89737952,14.95691772,30.51175266,0.999617841,19.57272633,39.92789127,27.94459681,226.0985047,461.1595052,4.35143 + 0i,3.16028 + 0i,0.2260985047 + 4.918702761i,0.4611595052 + 10.03403541i,0.322636443 + 7.02258659i,1.800400513,2.529975826
4,14,20,1.629173476,1.630018112,39995.41769,2.53734524,2.834096734,5.487261265,-0.306105213,3500.794937,4.08047221,9.463325957,4.382797022,9.032675879,12.93740132,15.7621647,34.88799685,99.20280398,17.15487787,34.99608436,15.35880327,31.33207819,0.999552649,17.17023668,35.02741644,24.51307919,198.3287517,404.5379847,4.35135 + 0i,3.16337 + 0i,0.1983287517 + 4.314856796i,0.4045379847 + 8.802341442i,0.2829953552 + 6.160102992i,1.679190413,2.357888441
5,14,20,1.62909951,1.629713953,39994.90943,2.530707249,2.966824191,5.359691155,-0.353921406,3500.825863,4.702893664,9.573392093,4.35654485,9.061736166,11.67846248,15.72218847,34.88545038,99.98116139,15.96976202,32.57709099,14.21077647,28.98889525,0.999555369,15.98397279,32.60607989,22.81910025,184.6277465,376.5665337,4.35031 + 0i,3.16411 + 0i,0.1846277465 + 4.016699272i,0.3765665337 + 8.193758777i,0.2634256227 + 5.734335546i,1.691691567,2.29484914
6,14,20,1.629215702,1.629784247,39995.46417,2.399314237,2.966757152,5.661566971,0.244178176,3500.837445,3.985630263,8.919828544,4.372418172,9.048558625,9.915439164,15.7232387,34.88691817,99.99934722,14.00497555,28.5656495,13.97820498,28.51104614,0.999501329,14.01895375,28.59416055,20.01150967,161.9327082,330.2148447,4.3516 + 0i,3.16417 + 0i,0.1619327082 + 3.522947837i,0.3302148447 + 7.185681459i,0.2309914152 + 5.028870624i,1.637487667,2.323700608
7,14,20,1.629032133,1.629656423,39994.20363,2.414567677,2.846976135,4.280468967,0.239813988,3500.528967,3.284671027,8.768996447,4.302882671,9.008488765,8.106712828,15.02461651,33.40690288,28.15766187,3.449684795,7.035026255,6.112555198,12.46548275,0.999115217,3.45579735,7.047491738,4.93068201,39.89012142,81.32977083,4.35143 + 0i,3.1646 + 0i,39.89012142 + 868.4107464i,0.08132977083 + 1.770971194i,0.05684737727 + 1.239035977i,0.853638875,1.031545994
8,14,20,1.629196832,1.629926766,39995.41175,2.306144518,2.847109394,5.506245677,-0.238507468,3501.058135,3.362237155,8.750219818,4.263410521,9.00935142,11.49577171,15.00872495,33.40912181,99.90610454,16.32690714,33.30385277,16.01473405,32.66707775,0.999509921,16.34292187,33.33651985,23.32985778,188.8024609,385.0288718,4.3524 + 0i,3.16067 + 0i,0.1888024609 + 4.106953115i,0.3850288718 + 8.377420215i,0.2693443237 + 5.862760211i,1.745083212,2.445853841
9,14,20,1.629271122,1.630124641,39995.23944,2.308775698,2.964179566,5.492247039,-0.207439518,3500.806831,3.964677545,8.743803536,4.300854143,9.009924187,14.67413311,15.7564919,34.45134563,99.84090502,19.13730885,39.03798765,15.18071996,30.9669851,0.99960361,19.15248957,39.06895464,27.34364006,221.2483108,451.2243725,4.35137 + 0i,3.16292 + 0i,0.2212483108 + 4.812972764i,0.4512243725 + 9.817930659i,0.3156876341 + 6.871388409i,1.792152413,2.553920574
10,14,20,1.629167352,1.629687198,39994.03524,2.34645083,2.836715108,4.889989313,0.243321399,3500.790462,3.591062169,8.767894089,4.237250071,8.999041406,8.009720911,15.024867,33.29927027,23.02691113,2.797259791,5.703754197,5.782905927,11.79163768,0.998967927,2.803042697,5.715545834,3.99848303,32.34890266,65.94559846,4.35272 + 0i,3.1644 + 0i,32.34890266 + 704.3764159i,0.06594559846 + 1.436259139i,0.04608201858 + 1.004778539i,0.801121016,0.950162798
11,14,20,1.629213782,1.629699779,39995.33155,2.412268868,2.870224468,4.787075588,0.203712828,3500.809111,3.957511391,9.561490072,4.389807817,10.14403172,13.76235943,15.72954534,33.76635179,99.84168861,18.42637534,37.5906568,15.49246609,31.6053464,0.999579877,18.44186781,37.62226214,26.32948772,213.0244251,434.5129272,4.35182 + 0i,3.16309 + 0i,0.2130244251 + 4.634405963i,0.4345129272 + 9.454402225i,0.303991565 + 6.616549698i,1.763431065,2.36723357
12,14,20,1.629162604,1.62994786,39996.42971,2.409021021,2.846973683,3.996043611,-0.11539789,3500.517015,3.546146188,8.804944335,4.276866106,9.001603682,8.059451217,15.00334336,33.33327209,67.92722583,8.313534945,16.95722949,9.766030395,19.91990407,0.99941316,8.323300976,16.97714939,11.88024094,96.13668729,196.0413987,4.35147 + 0i,3.16078 + 0i,0.09613668729 + 2.091686981i,0.1960413987 + 4.26644218i,0.137104366 + 2.985563705i,1.295216899,1.681457809
