,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
41,9.0,30.0,17.0,100.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1198.7855000000002,0.5987093512943401,502.9920085233009,31.990240580589273,79.0,170.5,89.0,230.08618897223334,117.36109029670884,71.63733143066436,188.9984217273732,41.08776724486015
98,9.0,30.0,17.0,101.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1205.8165000000001,0.5987093512943401,502.9920085233009,31.990240580589273,79.0,171.5,89.0,230.0861889722333,117.36109029670884,71.63733143066436,188.9984217273732,41.08776724486011
24,9.0,30.0,17.0,97.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1170.6615000000002,0.5987093512943401,501.8449052608416,31.897049482838295,79.0,166.5,89.0,232.90959165966274,118.51962775234585,73.30219666245675,191.82182441480262,41.08776724486011
13,9.0,31.0,17.0,97.0,55.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1192.6000000000001,0.5793961464138774,506.651778257667,31.92950720347011,80.0,167.5,89.0,233.25612123474025,120.18315498837795,72.97017358296263,193.15332857134058,40.102792663399654
97,9.0,32.0,17.0,100.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1221.9255,0.5612900168384438,516.3813041962586,31.984049320617352,81.0,169.5,89.0,228.91586202673975,118.36312555516035,71.38113869720524,189.7442642523656,39.17159777437414
39,9.0,32.0,17.0,100.0,59.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,-2.0,1.0,1276.8435000000002,0.5612900168384438,514.6947617824247,31.97837073423616,81.0,169.5,93.0,228.62312655801497,117.02080353846003,70.67020399689433,187.69100753535434,40.9321190226606
89,9.0,32.0,17.0,101.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1229.1345000000001,0.5612900168384438,516.3813041962586,31.984049320617352,81.0,170.5,89.0,228.91586202673972,118.36312555516035,71.38113869720524,189.7442642523656,39.17159777437412
26,9.0,32.0,17.0,100.0,55.0,3500.0,23.0,23.0,13.0,13.0,3.0,4.0,1.0,1.0,0.0,0.0,1250.7615,0.5612900168384438,503.3565440030973,31.75481477123756,81.0,173.50000000000003,89.0,228.08413774075734,117.86334429497232,71.04919567141089,188.9125399663832,39.17159777437414
88,9.0,30.0,20.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,1.0,3.0,-3.0,0.0,1785.7140000000002,0.508902948600189,501.18857709655924,32.31101262014551,82.0,178.50000000000003,122.0,195.06176608717632,95.64180033154618,49.47952500439268,145.12132533593885,49.94044075123747
38,9.0,31.0,22.0,100.0,82.0,3500.0,24.0,24.0,14.0,14.0,4.0,5.0,3.0,3.0,0.0,0.0,1950.4170000000004,0.44771520404708726,511.6531770438866,32.0810701436287,83.0,186.50000000000003,126.0,175.01585743520127,78.21923738258312,49.8834723628643,128.1027097454474,46.91314768975385
