,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
37,9.0,30.0,17.0,88.0,54.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,-1.0,449.9999999999999,449.9999999999999,1084.512,0.5987093512943402,727.534965630768,31.998193846368373,79.0,156.0,88.0,178.66012972826633,77.84592254080455,60.18810024872363,138.0340227895282,40.62610693873813
2,9.0,30.0,17.0,99.0,55.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,449.9999999999999,799.9999999999999,1184.7234999999998,0.5987093512943401,700.9870310985466,32.0159242338342,79.0,168.5,89.0,154.30372415401249,78.28116203326937,34.934794875882965,113.21595690915234,41.08776724486015
17,9.0,30.0,16.0,100.0,55.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,449.9999999999999,799.9999999999999,1151.2275,0.6361286857502364,660.8534437217769,31.825953848984092,79.0,167.5,87.0,155.28451127275233,78.31651601483931,34.96065326664049,113.2771692814798,42.007341991272526
19,9.0,31.0,16.0,88.0,54.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,-1.0,449.9999999999999,449.9999999999999,1059.52,0.6156084055647447,713.0075395530305,31.74871516955537,80.0,154.0,86.0,180.3826280522694,78.41369065007143,61.43988253490207,139.8535731849735,40.529054867295926
48,9.0,35.0,12.0,99.0,54.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,-1.0,449.9999999999999,449.9999999999999,1028.664,0.7270042122859844,653.6804684427257,31.789708712432482,84.0,157.0,78.0,186.75005702156307,80.27749255782793,64.89925545837119,145.1767480161991,41.57330900536395
21,9.0,35.0,13.0,97.0,54.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,-1.0,449.9999999999999,449.9999999999999,1055.0400000000002,0.6710808113409087,720.0936325105022,31.90097662121345,84.0,157.0,80.0,185.35751785539645,80.39415446848388,64.77632340226532,145.1704778707492,40.187039984647264
20,9.0,36.0,12.0,97.0,54.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,-1.0,449.9999999999999,449.9999999999999,1027.65,0.7068096508335959,646.3555484175993,31.816639282998366,85.0,155.0,78.0,188.39452902921238,82.10780596996108,65.57109901465753,147.6789049846186,40.71562404459375
10,9.0,36.0,16.0,88.0,55.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,449.9999999999999,799.9999999999999,1149.9225,0.5301072381251968,758.0512028115431,31.81560468541702,85.0,155.5,87.0,157.08617427230328,83.12481167979706,37.25586799914544,120.3806796789425,36.70549459336079
55,9.0,36.0,16.0,97.0,64.0,3500.0,24.0,24.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,-1.0,799.9999999999999,799.9999999999999,1402.3680000000004,0.5301072381251968,537.802665906485,31.836006042306092,88.00000000000001,166.0,96.0,126.19261776608408,48.10547121162464,37.584531830751,85.69000304237564,40.50261472370846
15,9.0,36.0,17.0,95.0,64.0,3500.0,24.0,24.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,-1.0,799.9999999999999,799.9999999999999,1431.5840000000003,0.4989244594119499,560.098257084632,31.90198084428621,88.00000000000001,166.0,98.0,125.09793335152898,48.00674086671041,37.55867343999348,85.56541430670389,39.53251904482511
26,9.0,40.0,12.0,100.0,55.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,449.9999999999999,799.9999999999999,1121.4445,0.6361286857502363,718.1149539504507,31.799983632636,89.0,159.5,79.0,160.19438617947748,84.51228731195984,37.53750096739664,122.04978827935648,38.14459790012102
22,9.0,41.0,10.0,99.0,54.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,-2.0,449.9999999999999,449.9999999999999,1018.98,0.74473602234174,639.0855044423034,31.796120900786292,90.0,153.00000000000003,74.0,190.46640644058988,84.30153702463272,66.0138911416817,150.3154281663144,40.15097827427546
62,9.0,42.0,11.0,100.0,55.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,449.9999999999999,799.9999999999999,1103.6025,0.6609129202599857,701.3693501226203,31.748806202583758,91.0,157.5,77.0,160.83534901562695,85.04235270521222,37.54751517633028,122.5898678815425,38.24548113408444
6,9.0,36.0,17.0,87.0,75.0,3500.0,25.0,25.0,9.0,8.0,5.0,3.0,1.0,1.0,0.0,9.0,1249.9999999999998,449.9999999999999,1567.2020000000007,0.4989244594119499,506.3221723722607,32.10994758161899,91.00000000000001,158.00000000000003,109.0,140.19769999496094,29.434279071517544,66.79357831236238,96.22785738387992,43.969842611081
76,9.0,37.0,16.0,87.0,75.0,3500.0,25.0,25.0,8.0,8.0,5.0,3.0,1.0,1.0,0.0,9.0,1249.9999999999998,449.9999999999999,1535.6640000000002,0.5157800154731647,508.03767848241426,31.89643302016804,92.0,156.00000000000003,107.0,140.49677151341444,29.67751057426105,66.58180121600647,96.25931179026752,44.23745972314691
28,9.0,38.0,16.0,99.0,75.0,3500.0,25.0,25.0,10.0,10.0,5.0,5.0,1.0,1.0,0.0,-3.0,1249.9999999999998,1249.9999999999998,1701.621,0.5022068571712393,501.8130357925736,31.767339088144688,93.0,171.0,107.0,96.8478614544511,29.66645474806685,23.80839349201951,53.47484824008636,43.37301321436475
45,9.0,39.0,18.0,99.0,75.0,3500.0,25.0,25.0,10.0,10.0,5.0,5.0,1.0,1.0,0.0,-3.0,1249.9999999999998,1249.9999999999998,1825.9500000000003,0.43495978512836675,593.9634015080118,32.802567884887,94.0,175.00000000000003,111.0,94.128928953915,29.726579330364203,23.948674599050058,53.67525392941426,40.45367502450074
35,9.0,39.0,17.0,97.0,75.0,3500.0,25.0,25.0,10.0,10.0,5.0,5.0,1.0,1.0,0.0,-3.0,1249.9999999999998,1249.9999999999998,1752.0660000000003,0.46054565484180005,560.4604790181636,32.24456776875526,94.0,171.0,109.0,94.79355601892239,29.538321580613633,23.81416518568764,53.35248676630127,41.44106925262111
92,9.0,39.0,18.0,96.0,75.0,3500.0,25.0,26.0,10.0,10.0,5.0,5.0,1.0,1.0,0.0,-1.0,1249.9999999999998,1249.9999999999998,1805.082,0.43495978512836675,616.3903600250317,32.06328940391574,94.0,173.00000000000003,111.0,94.21522925105002,29.797944279941248,23.96360994660803,53.76155422654928,40.45367502450074
38,9.0,46.0,10.0,87.0,54.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,-1.0,449.9999999999999,449.9999999999999,991.23,0.6637864546958988,698.8316161487656,31.784796355595862,95.0,141.0,74.0,189.88024860136176,87.38026442456649,65.62639694597512,153.00666137054162,36.87358723082015
65,9.0,46.0,11.0,84.0,54.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,-2.0,449.9999999999999,449.9999999999999,1010.8000000000001,0.6034422315417263,784.1629346940724,31.90131471032819,95.0,140.0,76.0,188.47429527146653,87.33859531480681,65.84447968213188,153.18307499693867,35.29122027452786
