,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
76,8.0,40.0,25.0,97.0,83.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,-12.0,1249.9999999999998,799.9999999999999,2343.7925000000005,0.34350949030512756,664.0297440862678,31.75321644799478,95.0,185.50000000000003,133.0,106.49535379815833,27.26843701982548,33.43577257711994,60.70420959694542,45.791144201212916
95,8.0,40.0,25.0,98.0,83.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,-10.0,1249.9999999999998,799.9999999999999,2356.4275000000007,0.3435094903051276,669.1698533353073,31.758067316579726,95.0,186.50000000000003,133.0,106.41254621619966,27.150581891227322,33.470820123759395,60.621402014986714,45.791144201212944
24,8.0,46.0,22.0,100.0,83.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,-1.0,1249.9999999999998,799.9999999999999,2340.9275000000007,0.33943625524222104,638.6595387056273,31.745260613993338,101.0,182.50000000000003,127.0,106.10653734629102,28.90556413476589,33.85986655122459,62.76543068599048,43.34110666030054
72,8.0,43.0,25.0,99.0,101.0,3500.0,27.0,27.0,9.0,9.0,7.0,4.0,1.0,1.0,0.0,19.0,2449.9999999999995,799.9999999999999,2991.612000000001,0.3195437119117466,669.6771482471288,31.741043983907847,104.00000000000001,190.50000000000003,151.00000000000003,100.93653525148423,17.281139816355264,34.37609450782733,51.657234324182596,49.279300927301634
64,8.0,43.0,25.0,97.0,101.0,3500.0,27.0,27.0,9.0,9.0,7.0,4.0,1.0,1.0,0.0,-19.0,2449.9999999999995,799.9999999999999,2960.2040000000015,0.31954371191174663,674.6147507578518,31.774962290814155,104.00000000000001,188.50000000000003,151.00000000000003,100.69464740110249,17.3906717016585,34.02467477214234,51.41534647380084,49.279300927301634
85,8.0,56.0,13.0,100.0,66.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,-7.0,449.9999999999999,449.9999999999999,1545.6000000000004,0.47185369547407635,522.4168465028351,31.752302975468258,105.00000000000001,160.0,92.0,192.71713291147978,81.10453371671471,71.54987647470688,152.6544101914216,40.062722720058176
17,8.0,56.0,13.0,100.0,65.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,-8.0,449.9999999999999,449.9999999999999,1528.8000000000002,0.47185369547407635,557.2284501127381,31.749220474174727,105.00000000000001,160.0,91.0,193.0965874752888,81.92305523666171,71.54627389596082,153.46932913262253,39.62725834266629
99,8.0,57.0,13.0,100.0,65.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,-8.0,449.9999999999999,449.9999999999999,1543.3600000000001,0.4635755604657593,551.689032410388,31.827683416488238,106.00000000000001,160.0,91.0,192.58094205157653,81.94403996263104,71.52528494980993,153.46932491244098,39.111617139135575
3,8.0,57.0,15.0,100.0,66.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,-1.0,449.9999999999999,799.9999999999999,1684.1280000000004,0.4017654857369914,593.9624635542496,31.75014619333777,106.00000000000001,165.5,96.0,153.60974784023318,81.79969743598862,34.695332607738834,116.49503004372745,37.11471779650574
57,8.0,57.0,17.0,84.0,66.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1611.2000000000005,0.35449895800322767,730.4226559477188,31.83085518549128,106.00000000000001,152.00000000000003,100.0,186.76534737969445,81.32899723638266,70.19518492338874,151.52418215977139,35.24116521992303
56,8.0,57.0,13.0,100.0,66.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1560.3200000000002,0.4635755604657593,533.5894936674442,31.76081315941863,106.00000000000001,160.0,92.0,191.81841893601757,80.76905611938716,71.50794768695488,152.27700380634204,39.54141512967553
10,8.0,57.0,15.0,100.0,65.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,-4.0,449.9999999999999,799.9999999999999,1666.5850000000003,0.4017654857369914,625.7108225585896,31.768869827208004,106.00000000000001,165.5,95.0,153.99806545469835,82.5746266941674,34.695332607738834,117.26995930190624,36.72810615279212
53,8.0,59.0,13.0,100.0,66.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1589.7600000000002,0.4478611346872589,544.4719103892817,31.834475623637555,108.00000000000001,160.0,92.0,190.77807478655996,80.68387366185777,71.54910681564826,152.23298047750603,38.54509430905392
30,8.0,56.0,13.0,104.0,75.0,3500.0,24.0,24.0,8.0,8.0,4.0,3.0,1.0,1.0,0.0,-14.0,799.9999999999999,449.9999999999999,1805.2740000000003,0.4718536954740764,508.7083652605238,31.77868708453588,108.00000000000001,165.5,101.0,166.0251915855091,47.5785775422488,74.46471192667467,122.04328946892346,43.98190211658565
93,8.0,59.0,17.0,84.0,66.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1641.6000000000006,0.34248204417260975,743.4170403974113,31.936978890260985,108.00000000000001,152.00000000000003,100.0,185.87300316187074,81.28346177205765,70.23634405208212,151.51980582413978,34.353197337730975
14,8.0,59.0,17.0,85.0,66.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1652.4000000000005,0.3424820441726098,740.6268046830011,31.90428444955194,108.00000000000001,153.00000000000003,100.0,185.83562068362744,81.16901453148941,70.31340881440704,151.48242334589645,34.35319733773099
41,8.0,46.0,23.0,97.0,111.0,3500.0,28.0,28.0,9.0,9.0,8.0,4.0,1.0,1.0,0.0,-12.0,3199.9999999999995,799.9999999999999,3212.2200000000007,0.32467815718821147,620.2753338663891,31.75369684867125,110.00000000000001,186.00000000000003,157.0,101.91479386052029,14.543580606729268,35.52582717583123,50.0694077825605,51.845386077959795
32,8.0,46.0,24.0,96.0,111.0,3500.0,28.0,28.0,9.0,9.0,8.0,4.0,1.0,1.0,0.0,-18.0,3199.9999999999995,799.9999999999999,3270.630000000001,0.31114990063870257,664.4151052058153,31.860110595074747,110.00000000000001,187.00000000000003,159.0,101.23046463734067,14.570152868241317,35.78233126174916,50.35248412999047,50.8779805073502
2,8.0,46.0,24.0,109.0,111.0,3500.0,28.0,28.0,9.0,9.0,8.0,4.0,1.0,1.0,0.0,19.0,3199.9999999999995,799.9999999999999,3498.0000000000005,0.31114990063870257,613.102964679059,32.4873179802452,110.00000000000001,200.0,159.0,101.42580267138126,14.362237333225575,36.18558483080551,50.54782216403109,50.87798050735018
20,8.0,46.0,24.0,98.0,111.0,3500.0,28.0,28.0,9.0,9.0,8.0,4.0,1.0,1.0,0.0,19.0,3199.9999999999995,799.9999999999999,3305.610000000001,0.31114990063870257,644.8919143419366,31.755778862202508,110.00000000000001,189.00000000000003,159.0,101.37261528609,14.477910355401196,36.016724423338594,50.494634778739794,50.877980507350216
15,8.0,58.0,14.0,100.0,75.0,3500.0,24.0,24.0,8.0,8.0,4.0,3.0,1.0,1.0,0.0,9.0,799.9999999999999,449.9999999999999,1852.4550000000004,0.4230412442181375,552.7321974938338,31.75823634900174,110.00000000000001,163.5,103.0,162.67978082486752,47.67059484775972,73.63822416995369,121.3088190177134,41.37096180715412
18,8.0,46.0,24.0,106.0,111.0,3500.0,28.0,28.0,9.0,9.0,8.0,4.0,1.0,1.0,0.0,19.0,3199.9999999999995,799.9999999999999,3445.530000000001,0.31114990063870257,596.9798965866554,32.49118170869153,110.00000000000001,197.0,159.0,101.42580267138129,14.362237333225575,36.18558483080551,50.54782216403109,50.8779805073502
98,8.0,56.0,17.0,100.0,84.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,4.0,1249.9999999999998,799.9999999999999,2259.405,0.3608292965389996,617.6068514693765,31.7622592689658,111.00000000000001,172.50000000000003,118.00000000000001,108.11116892594303,30.083653488784716,35.89469620014576,65.97834968893048,42.13281923701256
79,8.0,57.0,14.0,100.0,83.0,3500.0,25.0,25.0,8.0,8.0,5.0,3.0,1.0,1.0,0.0,-14.0,1249.9999999999998,449.9999999999999,2051.28,0.43046302043249074,524.4852162311886,31.81309847750748,112.00000000000001,165.0,111.0,148.90702094358602,30.17359867916805,73.57167939281064,103.74527807197869,45.16174287160734
97,8.0,57.0,17.0,100.0,83.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,4.0,1249.9999999999998,799.9999999999999,2260.4400000000005,0.3544989580032277,619.8961645158334,31.760538141392892,112.00000000000001,172.50000000000003,117.0,107.22732994163502,30.083653488784716,35.91151314554034,65.99516663432506,41.23216330730996
37,8.0,57.0,17.0,97.0,83.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,-12.0,1249.9999999999998,799.9999999999999,2221.1280000000006,0.35449895800322767,638.9139794691877,31.757999847980997,112.00000000000001,169.5,117.0,107.45167513330026,30.28425332656105,35.93525849942923,66.21951182599028,41.23216330730997
94,8.0,51.0,20.0,100.0,101.0,3500.0,27.0,27.0,9.0,9.0,7.0,4.0,1.0,1.0,0.0,-11.0,2449.9999999999995,799.9999999999999,2866.2480000000014,0.3367740101030663,608.8738423231562,31.744346440707663,112.00000000000001,181.50000000000003,141.0,102.67980125876443,17.77818940891536,37.06230922342929,54.84049863234465,47.83930262641979
