,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
85,9.0,31.0,17.0,85.0,69.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1260.72,0.5793961464138775,500.55924389479804,32.61208517534736,80.0,153.00000000000003,103.00000000000001,184.74458458404337,77.4772283046105,60.85625915212761,138.3334874567381,46.41109712730525
16,9.0,31.0,17.0,84.0,69.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1252.4800000000002,0.5793961464138774,506.10809703745053,32.56709170508224,80.0,152.00000000000003,103.00000000000001,184.87794949579805,77.65167612124492,60.81517624724792,138.46685236849282,46.41109712730521
89,9.0,32.0,17.0,92.0,69.0,3500.0,23.0,23.0,9.0,11.0,3.0,4.0,1.0,2.0,0.0,0.0,449.9999999999999,799.9999999999999,1364.0805,0.5612900168384438,505.2889663490682,31.930094105873884,81.0,163.5,103.00000000000001,159.78741563721752,78.53226811693325,35.92172537690745,114.4539934938407,45.333422143376815
87,9.0,32.0,17.0,92.0,69.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,2.0,0.0,0.0,449.9999999999999,799.9999999999999,1347.3945000000003,0.5612900168384438,505.8310511446865,31.901628456807252,81.0,161.5,103.00000000000001,159.55468827242836,78.71501213370969,35.50625399534186,114.22126612905154,45.333422143376815
88,9.0,32.0,17.0,93.0,69.0,3500.0,23.0,23.0,9.0,11.0,3.0,4.0,1.0,2.0,0.0,0.0,449.9999999999999,799.9999999999999,1372.4235000000003,0.5612900168384438,509.30570740979374,32.07101552192764,81.0,164.5,103.00000000000001,159.70116450363878,78.44601698335454,35.92172537690745,114.36774236026199,45.333422143376794
34,9.0,32.0,17.0,94.0,69.0,3500.0,23.0,23.0,9.0,12.0,3.0,4.0,1.0,2.0,0.0,0.0,449.9999999999999,799.9999999999999,1389.1095,0.5612900168384437,506.9790877099015,32.02783331366315,81.0,166.5,103.00000000000001,159.83251431668364,78.34217760265375,36.156914570653115,114.49909217330686,45.33342214337678
71,9.0,32.0,17.0,98.0,69.0,3500.0,23.0,23.0,12.0,12.0,3.0,5.0,1.0,1.0,0.0,0.0,449.9999999999999,1249.9999999999998,1426.6530000000005,0.5612900168384438,503.1766225191342,32.04712115414716,81.0,171.0,103.00000000000001,146.7876237931872,79.34584761305527,22.108354036755113,101.45420164981039,45.333422143376815
10,9.0,32.0,17.0,91.0,69.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,2.0,0.0,0.0,449.9999999999999,799.9999999999999,1339.0515,0.5612900168384438,507.7537339195911,31.835842081009158,81.0,160.5,103.00000000000001,159.6458113364734,78.77450511006458,35.53788408303203,114.3123891930966,45.333422143376794
9,9.0,32.0,17.0,85.0,69.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1276.4790000000003,0.5612900168384437,516.737242677402,32.61442246118134,81.0,153.00000000000003,103.00000000000001,183.7405216136251,77.4772283046105,60.92987116563776,138.40709947024828,45.33342214337683
86,9.0,32.0,17.0,84.0,69.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,10.0,449.9999999999999,449.9999999999999,1268.1360000000002,0.5612900168384438,522.2860958200574,32.56942899091622,81.0,152.00000000000003,103.00000000000001,183.8379046679346,77.65167612124492,60.85280640331285,138.50448252455777,45.333422143376815
91,9.0,32.0,17.0,93.0,69.0,3500.0,23.0,23.0,9.0,12.0,3.0,4.0,1.0,2.0,0.0,0.0,449.9999999999999,799.9999999999999,1380.7665000000002,0.5612900168384438,508.6164217316068,31.95863614933809,81.0,165.5,103.00000000000001,159.8427603215084,78.35242360747849,36.156914570653115,114.5093381781316,45.333422143376794
25,9.0,32.0,17.0,95.0,69.0,3500.0,23.0,23.0,12.0,11.0,3.0,5.0,1.0,1.0,0.0,0.0,449.9999999999999,1249.9999999999998,1393.2810000000002,0.5612900168384438,507.6560477554325,31.745557936145296,81.0,167.0,103.00000000000001,147.11421690738155,79.46280840876908,22.31798635523565,101.78079476400472,45.333422143376815
59,9.0,32.0,17.0,98.0,69.0,3500.0,23.0,23.0,12.0,13.0,3.0,5.0,1.0,1.0,0.0,0.0,449.9999999999999,1249.9999999999998,1434.9960000000003,0.5612900168384438,503.1955728915103,32.16640060820396,81.0,172.0,103.00000000000001,146.72618174011038,79.34584761305527,22.04691198367829,101.39275959673355,45.333422143376815
2,9.0,32.0,17.0,97.0,71.0,3500.0,23.0,23.0,12.0,13.0,3.0,5.0,1.0,1.0,1.0,-1.0,449.9999999999999,1249.9999999999998,1454.3550000000002,0.5612900168384437,501.8078011427046,32.14297316379866,81.0,171.0,105.00000000000001,147.50105872363508,79.13876680512429,22.148609150990776,101.28737595611507,46.21368276752003
