,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
0,8.0,35.0,29.0,97.0,83.0,3500.0,25.0,25.0,10.0,12.0,5.0,4.7,1.0,1.3,0.0,-3.0,1249.9999999999998,1104.5,2498.0265000000004,0.33843299537451,683.5998882719654,31.74111217737493,90.00000000000001,196.85,141.0,97.95041922553757,26.65754436603434,23.279294104643498,49.93683847067784,48.01358075485974
27,8.0,35.0,29.0,97.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.3,0.0,-3.0,1249.9999999999998,1104.5,2472.6465000000003,0.33843299537450994,683.527814390224,31.908881891501167,90.00000000000001,194.85,141.0,97.97401415019536,26.657949463755557,23.30248393158007,49.96043339533563,48.013580754859724
6,8.0,35.0,28.0,100.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.3,0.0,-10.0,1249.9999999999998,1104.5,2450.0835000000006,0.35051988806645673,648.0393148954518,31.773133021902506,90.00000000000001,195.85,139.0,98.58510388927114,26.54317276661052,23.464185225026174,50.007357991636695,48.57774589763444
63,8.0,40.0,25.0,100.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.3,1.0,1.3,0.0,-9.0,1249.9999999999998,924.4999999999998,2396.227750000001,0.3435094903051277,644.4819312389868,31.807298955313776,95.0,189.65000000000003,133.0,102.71297788600772,27.150581891227322,29.77125179356746,56.92183368479478,45.79114420121294
7,8.0,40.0,25.0,100.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.3,0.0,-9.0,1249.9999999999998,1104.5,2398.7547500000005,0.3435094903051277,644.4819312389868,31.807298955313776,95.0,189.85000000000002,133.0,96.69601899664929,27.11079501741064,23.794079778025708,50.90487479543635,45.79114420121294
47,8.0,46.0,20.0,100.0,83.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.6,1.0,1.0,0.0,-10.0,1249.9999999999998,647.9999999999999,2215.0209,0.3733798807664431,607.4827325325799,31.793844161835786,101.0,178.3,123.0,113.27096682061672,28.59276187973755,39.6347210384386,68.22748291817615,45.04348390244056
18,8.0,46.0,20.0,104.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.2,1.0,1.0,0.0,-10.0,1249.9999999999998,881.9999999999999,2280.8628,0.3733798807664431,581.6762988283489,31.74588885659248,101.0,183.60000000000002,123.0,104.4430756604835,28.63102393777126,30.7685678202717,59.39959175804296,45.04348390244054
11,8.0,46.0,22.0,100.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.3,0.0,-10.0,1249.9999999999998,1104.5,2358.2439500000005,0.33943625524222104,641.3362252004194,31.745101697333844,101.0,183.85000000000002,127.0,96.55249646831192,28.848146257993058,24.363243550018332,53.21138980801139,43.34110666030054
49,8.0,46.0,23.0,97.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.3,0.0,-10.0,1249.9999999999998,1104.5,2382.3526500000003,0.32467815718821147,696.7662567391048,31.77044449860527,101.0,182.85000000000002,129.0,95.90097166212533,28.931877020108555,24.370019456941552,53.30189647705011,42.59907518507523
9,8.0,48.0,20.0,104.0,83.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.3,1.0,1.5,0.0,-10.0,1249.9999999999998,924.4999999999998,2326.6618500000004,0.357822385734508,581.0649467753357,31.745310879232008,103.00000000000001,183.65000000000003,123.0,103.87787613815784,28.729784303570334,31.501106409792232,60.23089071336257,43.64698542479529
