,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
15,7.0,65.0,29.0,94.0,87.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.7,1.0,1.0,0.0,-9.0,1249.9999999999998,1104.5,3338.1900000000005,0.20826645869200613,948.0620985659388,31.757797447503773,120.00000000000001,191.85,145.00000000000003,105.34599728485408,31.719804557294832,27.437862114581634,59.15766667187647,46.18833061297761
75,7.0,89.0,15.0,88.0,71.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,13.0,449.9999999999999,449.9999999999999,2118.5760000000005,0.2940691195763533,846.6978743888639,31.749514445038265,138.0,152.0,101.0,213.4277755148151,87.08580002161152,72.79071526877676,159.87651529038828,53.551260224426805
3,7.0,89.0,15.0,91.0,71.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.2,1.0,1.0,0.0,13.0,449.9999999999999,512.0,2175.7218000000003,0.2940691195763533,830.8189565896201,31.775818192546275,138.0,156.1,101.0,202.1217294681508,87.23562953376357,61.334839709960356,148.57046924372392,53.55126022442685
73,7.0,89.0,15.0,90.0,71.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.2,1.0,1.0,0.0,13.0,449.9999999999999,512.0,2161.7838,0.2940691195763533,830.4591422039218,31.748249434229166,138.0,155.1,101.0,202.16347489574798,87.23562953376357,61.37658513755761,148.61221467132117,53.551260224426805
62,7.0,89.0,16.0,84.0,71.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,15.0,449.9999999999999,449.9999999999999,2132.1000000000004,0.2756897996028312,913.3925352179007,31.809284664804135,138.0,150.00000000000003,103.00000000000001,209.83840362681389,87.48098080102986,72.71077561437643,160.1917564154063,49.646647211407604
2,7.0,88.0,15.0,87.0,73.0,3500.0,24.0,24.0,8.0,8.0,3.2,3.0,1.0,1.0,0.0,-15.0,512.0,449.9999999999999,2180.7489600000004,0.29741081411699366,833.7324512229136,31.766705466696923,139.20000000000002,152.10000000000002,103.0,203.2733213938973,73.41446366468998,74.32815252099564,147.74261618568562,55.530705208211685
19,7.0,88.0,15.0,90.0,76.0,3500.0,24.0,24.0,8.0,8.0,3.6,3.0,1.0,1.0,0.0,-17.0,647.9999999999999,449.9999999999999,2298.0672799999998,0.2974108141169937,813.6283560315661,31.750438013161105,139.6,155.29999999999998,106.0,192.86821228262954,61.336870843365105,74.38323705023103,135.72010789359615,57.14810438903341
74,7.0,88.0,15.0,90.0,77.0,3500.0,24.0,24.0,8.0,8.0,3.7,3.0,1.0,1.0,0.0,-14.0,684.4999999999999,449.9999999999999,2322.156265,0.2974108141169937,815.4874324862753,31.79368395612993,139.70000000000002,155.35,107.0,190.00592881223133,58.22622967100805,74.09246169191596,132.318691362924,57.687237449307325
47,7.0,89.0,15.0,88.0,73.0,3500.0,24.0,24.0,8.0,8.0,3.2,3.0,1.0,1.0,0.0,-15.0,512.0,449.9999999999999,2210.8558599999997,0.2940691195763533,831.4552821133298,32.11665898365876,140.20000000000002,153.1,103.0,202.20608375143263,73.36733420632885,74.2270683261339,147.59440253246277,54.6116812189699
63,7.0,89.0,15.0,88.0,73.0,3500.0,24.0,24.0,9.0,9.0,3.2,3.1,1.0,1.0,0.0,-15.0,512.0,480.49999999999994,2226.01849,0.2940691195763533,831.4552821133298,31.826338160663724,140.20000000000002,154.14999999999998,103.0,194.09817316248123,73.36636330042163,66.12012864308971,139.48649194351134,54.6116812189699
16,7.0,89.0,16.0,88.0,77.0,3500.0,24.0,24.0,9.0,9.0,3.7,3.2,1.0,1.0,0.0,-14.0,684.4999999999999,512.0,2399.3641350000003,0.2756897996028312,882.1303498219913,31.753034323317234,140.70000000000002,156.45,109.0,173.11615682273106,58.38610813114641,62.191363778541685,120.57747190968809,52.53868491304298
52,7.0,89.0,15.0,92.0,77.0,3500.0,24.0,24.0,9.0,9.0,3.7,3.2,1.0,1.0,0.0,-14.0,684.4999999999999,512.0,2385.4489049999997,0.2940691195763533,798.9797049964376,31.762948257620867,140.70000000000002,158.45,107.0,177.24428582854878,58.34189984774075,62.169862772751934,120.51176262049268,56.73252320805609
89,7.0,89.0,15.0,94.0,79.0,3500.0,24.0,24.0,8.0,8.0,4.0,3.0,1.0,1.0,0.0,-17.0,799.9999999999999,449.9999999999999,2451.3555,0.2940691195763533,780.8485195376466,31.763337958882087,141.0,159.5,109.0,184.63239373176924,52.14611429218897,74.69333523698104,126.83944952917001,57.792944202599244
54,7.0,89.0,15.0,93.0,79.0,3500.0,24.0,24.0,8.0,8.0,4.0,3.0,1.0,1.0,0.0,-17.0,799.9999999999999,449.9999999999999,2435.9865000000004,0.2940691195763533,777.3156988423833,31.75287027214287,141.0,158.5,109.0,184.65902960468406,52.17275016510382,74.69333523698104,126.86608540208486,57.79294420259922
53,7.0,88.0,19.0,93.0,85.0,3500.0,25.0,25.0,10.0,10.0,4.7,4.7,1.0,1.0,0.0,-15.0,1104.5,1104.5,2996.1434700000004,0.234798011144995,897.1990838700285,31.785878887645378,142.70000000000002,170.7,123.0,112.3758863490969,36.392845656094124,29.211781447847308,65.60462710394143,46.77125924515547
51,7.0,91.0,15.0,89.0,77.0,3500.0,24.0,24.0,9.0,9.0,3.7,3.2,1.0,1.1,0.0,-14.0,684.4999999999999,512.0,2373.5505049999997,0.28760606200324657,852.617631371864,31.7556644828611,142.70000000000002,155.45,107.0,176.40146727579963,59.3072642814184,62.19349211123192,121.50075639265032,54.90071088314931
87,7.0,94.0,14.0,86.0,71.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,14.0,449.9999999999999,449.9999999999999,2095.236000000001,0.29831479835443125,839.2388051701205,31.747584622855655,143.00000000000003,148.00000000000003,99.0,214.91615833076267,87.67555668966534,73.62665536586695,161.3022120555323,53.61394627523038
91,7.0,94.0,14.0,87.0,71.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,0.0,14.0,449.9999999999999,449.9999999999999,2109.3930000000005,0.29831479835443125,831.8216599374072,31.96010820765369,143.00000000000003,149.00000000000003,99.0,214.9118857924955,87.67128415139813,73.62665536586695,161.2979395172651,53.61394627523041
92,7.0,88.0,24.0,92.0,87.0,3500.0,25.0,25.0,11.0,11.0,5.0,5.9,1.0,1.0,0.0,-9.0,1249.9999999999998,1740.4999999999998,3502.8922500000012,0.18588175882312108,1066.082280892628,31.819268625785174,143.00000000000003,181.45000000000002,135.0,89.67482786178822,33.569331644112005,19.750430820925647,53.319762465037655,36.35506539675057
