,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
0,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,8.0,8.0,3.0,3.0,1.7000000000000002,4.9,1.0,0.0,449.9999999999999,449.9999999999999,4742.276,0.23131952209099504,844.9363795744601,46.75307354201923,89.0,346.00000000000006,154.0,190.58172448434402,84.11093200571563,61.917813426526365,146.02874543224198,44.55297905210203
30,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,3.2,1.3,3.8000000000000003,-3.0,4.0,449.9999999999999,512.0,4757.3526,0.23131952209099502,822.0804961184818,46.91276747505691,89.0,347.1,154.0,189.54153707535895,84.02599931364311,60.96255870961383,144.98855802325693,44.55297905210202
31,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,3.4000000000000004,1.3,3.9000000000000004,-3.0,4.0,449.9999999999999,578.0,4758.7232,0.23131952209099504,826.8075180043086,46.567952402984716,89.0,347.2,154.0,178.44975024374781,84.0401061719281,49.85666501971769,133.8967711916458,44.55297905210203
92,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,3.9000000000000004,1.3,3.8000000000000003,-3.0,-1.0,449.9999999999999,760.5,4762.1497,0.23131952209099504,834.8024571079234,45.68927219498086,89.0,347.45000000000005,154.0,167.5412439182145,84.54836973931454,38.439895126797914,122.98826486611244,44.55297905210203
34,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,8.0,8.0,3.0,3.0,1.7000000000000002,4.9,0.0,0.0,449.9999999999999,449.9999999999999,4742.276,0.23131952209099504,839.7695087291477,46.76028427686305,89.0,346.00000000000006,154.0,190.58172448434402,84.11093200571563,61.917813426526365,146.02874543224198,44.55297905210203
35,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,3.8000000000000003,1.3,3.9000000000000004,-3.0,-1.0,449.9999999999999,721.9999999999999,4761.4644,0.23131952209099504,834.8024571079234,45.68927219498086,89.0,347.40000000000003,154.0,170.55251068744963,84.54836973931454,41.45116189603304,125.99953163534758,44.55297905210203
36,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,4.0,1.3,4.1000000000000005,-3.0,0.0,449.9999999999999,799.9999999999999,4762.835,0.23131952209099504,836.9004823233629,45.68927219498086,89.0,347.50000000000006,154.0,164.39858187582342,84.60980142779621,35.2358013959252,119.8456028237214,44.55297905210203
39,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,3.2,1.3,4.1000000000000005,-3.0,4.0,449.9999999999999,512.0,4757.3526,0.23131952209099502,822.0804961184818,46.91276747505691,89.0,347.1,154.0,189.54153707535895,84.02599931364311,60.96255870961383,144.98855802325693,44.55297905210202
90,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,3.9000000000000004,1.3,3.9000000000000004,-3.0,0.0,449.9999999999999,760.5,4762.1497,0.23131952209099504,836.9004823233629,45.68927219498086,89.0,347.45000000000005,154.0,167.5412439182145,84.54836973931454,38.439895126797914,122.98826486611244,44.55297905210203
43,9.0,40.0,33.0,246.0,88.0,3200.0,23.0,23.0,9.0,9.0,3.0,3.1,1.3,3.8000000000000003,-3.0,4.0,449.9999999999999,480.49999999999994,4756.667300000001,0.23131952209099502,822.0804961184818,46.91276747505691,89.0,347.05,154.0,189.8541161493481,84.02599931364311,61.275137783603,145.3011370972461,44.55297905210202
