,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
0,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.8,4.9,0.0,4.0,449.9999999999999,449.9999999999999,2832.3359999999993,0.2582778122594944,745.6706296428995,29.715203062648275,89.0,208.0,153.0,169.5252594430444,69.70095787832575,51.075603880642255,120.776561758968,48.748697684076404
33,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,10.0,10.0,3.0,4.6000000000000005,1.8,2.9000000000000004,0.0,4.0,449.9999999999999,1058.0,2870.4636,0.2582778122594944,733.885136439011,28.987236243299687,89.0,210.79999999999998,153.0,144.0815733223592,70.30935093953893,25.02352469874387,95.3328756382828,48.748697684076404
34,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.5,1.8,4.0,0.0,4.0,449.9999999999999,612.4999999999999,2849.357249999999,0.2582778122594945,733.0846903472295,29.28554785369091,89.0,209.25,153.0,160.67618218824072,69.81188039392866,42.115604110235644,111.92748450416431,48.748697684076426
39,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,11.0,11.0,3.0,5.9,1.8,2.8000000000000003,0.0,0.0,449.9999999999999,1740.4999999999998,2892.93165,0.2582778122594945,728.791850478984,28.184247717159934,89.0,212.45,153.0,134.47191502659666,70.32297104740327,15.400246295116979,85.72321734252026,48.748697684076426
40,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,10.0,10.0,3.0,4.4,1.8,3.8000000000000003,0.0,-2.0,449.9999999999999,968.0,2869.1018999999997,0.2582778122594944,729.3521375609288,28.677861995412904,89.0,210.7,153.0,145.88440045650498,70.25471157837286,26.880991194055696,97.13570277242856,48.748697684076404
42,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,10.0,10.0,3.0,5.0,1.8,3.8000000000000003,0.0,0.0,449.9999999999999,1249.9999999999998,2873.187,0.2582778122594945,729.9199882152132,28.153724318028615,89.0,211.0,153.0,139.7651274968349,70.3101807257786,20.706249086979888,91.01642981275847,48.748697684076426
43,7.0,40.0,38.0,99.0,77.0,3500.0,23.0,23.0,10.0,10.0,3.0,5.0,1.8,3.8000000000000003,0.0,0.0,449.9999999999999,1249.9999999999998,2886.8039999999996,0.2582778122594945,721.131829577882,28.29921544227851,89.0,212.0,153.0,139.70040891706222,70.24546214600589,20.706249086979888,90.95171123298579,48.74869768407644
46,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.6,1.8,4.1000000000000005,0.0,4.0,449.9999999999999,647.9999999999999,2850.0380999999998,0.2582778122594945,733.0846903472295,29.28554785369091,89.0,209.29999999999998,153.0,159.6599571240642,69.81188039392866,41.09937904605912,110.91125943998779,48.748697684076426
47,7.0,40.0,38.0,100.0,77.0,3500.0,23.0,23.0,12.0,12.0,3.0,7.0,1.8,1.3,0.0,0.0,449.9999999999999,2449.9999999999995,2941.272,0.2582778122594945,705.2010680281034,27.733731606083538,89.0,216.0,153.0,130.33224796859605,70.69143519204947,10.892115092470124,81.58355028451959,48.74869768407645
50,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,10.0,10.0,3.0,4.800000000000001,1.8,2.8000000000000003,0.0,4.0,449.9999999999999,1152.0,2871.8253000000004,0.2582778122594944,731.5805460853131,28.486158318858763,89.0,210.9,153.0,141.31328262881252,70.21622091643371,22.348364028302388,92.5645849447361,48.748697684076404
56,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,12.0,12.0,3.0,7.0,1.8,1.4000000000000001,0.0,0.0,449.9999999999999,2449.9999999999995,2914.038,0.2582778122594944,736.6337984691565,27.505181864532254,89.0,214.0,153.0,130.45212317263318,70.80512429847164,10.898301190085142,81.70342548855677,48.748697684076404
58,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,11.0,11.0,3.0,5.4,1.8,3.3000000000000003,0.0,0.0,449.9999999999999,1458.0,2889.5273999999995,0.2582778122594945,728.9622443942479,28.152317884869305,89.0,212.2,153.0,137.07782760040044,70.12944375169197,18.199686164632052,88.32912991632402,48.748697684076426
59,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,10.0,10.0,3.0,4.5,1.8,3.8000000000000003,0.0,-2.0,449.9999999999999,1012.4999999999998,2869.7827499999994,0.2582778122594944,729.3521375609288,28.677861995412904,89.0,210.75,153.0,145.24520257250498,70.25471157837286,26.2417933100557,96.49650488842856,48.748697684076404
32,7.0,40.0,38.0,99.0,77.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.8,4.9,0.0,4.0,449.9999999999999,449.9999999999999,2845.9529999999995,0.2582778122594944,735.9639790672193,29.851780507156604,89.0,209.0,153.0,169.46054086327172,69.63623929855304,51.075603880642255,120.71184317919528,48.74869768407642
60,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,11.0,11.0,3.0,5.300000000000001,1.8,3.3000000000000003,0.0,0.0,449.9999999999999,1404.5,2888.84655,0.2582778122594945,728.9622443942479,28.152317884869305,89.0,212.15,153.0,137.99767137500692,70.12645551368928,19.122518177241215,89.2489736909305,48.748697684076426
71,7.0,40.0,38.0,98.0,77.0,3500.0,23.0,23.0,10.0,10.0,3.0,4.9,1.8,2.8000000000000003,0.0,4.0,449.9999999999999,1200.5,2872.5061499999997,0.2582778122594944,731.5805460853131,28.486158318858763,89.0,210.95,153.0,140.40056048713234,70.21622091643371,21.43564188662223,91.65186280305593,48.748697684076404
