,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
22,8.0,46.0,20.0,97.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.5,1.0,1.0,0.0,-14.0,1249.9999999999998,612.4999999999999,2354.1332500000003,0.3733798807664431,613.6707207887897,31.820153488126866,101.0,175.25000000000003,133.0,118.23115164109097,28.99835890216419,40.527236974499225,69.52559587666342,48.70555576442756
97,8.0,46.0,20.0,99.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,-14.0,1249.9999999999998,799.9999999999999,2384.3575000000005,0.373379880766443,614.6157919585567,31.75518468268393,101.0,177.50000000000003,133.0,111.26463490238669,28.994002211566993,33.56507692639214,62.55907913795913,48.70555576442756
95,8.0,46.0,20.0,100.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,-5.0,1249.9999999999998,799.9999999999999,2397.7905000000005,0.3733798807664431,607.626294132449,31.789664138395413,101.0,178.50000000000003,133.0,111.10733350823789,28.867805714673516,33.53397202913679,62.40177774381031,48.70555576442758
94,8.0,46.0,20.0,98.0,95.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.1000000000000005,1.0,1.0,0.0,-17.0,1249.9999999999998,840.5000000000001,2420.8942500000007,0.373379880766443,598.4803263470368,31.748507310864834,101.0,177.55,135.0,110.01345505208634,29.055668498638646,31.519816416622728,60.57548491526137,49.43797013682497
47,8.0,46.0,20.0,99.0,95.0,3500.0,25.0,25.0,10.0,10.0,5.0,4.1000000000000005,1.0,1.0,0.0,-10.0,1249.9999999999998,840.5000000000001,2434.5292500000005,0.373379880766443,598.1282389749463,31.74025761511149,101.0,178.55,135.0,109.8846029020819,28.879927625527596,31.566705139729322,60.44663276525692,49.43797013682497
53,8.0,46.0,20.0,99.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.6,1.0,1.0,0.0,-3.0,1249.9999999999998,647.9999999999999,2381.6709000000005,0.3733798807664431,609.5282338572949,31.827228226916333,101.0,177.3,133.0,117.12511552600003,28.83010230874427,39.58945745282819,68.41955976157246,48.70555576442758
91,8.0,46.0,20.0,100.0,103.0,3500.0,26.0,26.0,10.0,10.0,6.0,4.6000000000000005,1.0,1.0,0.0,-18.0,1799.9999999999995,1058.0,2696.293600000001,0.3733798807664431,560.7230422722976,31.75634742372826,104.00000000000001,181.3,143.00000000000003,101.61730271528012,22.296613001222596,26.9530620876429,49.249675088865494,52.367627626414624
70,8.0,46.0,20.0,100.0,103.0,3500.0,26.0,26.0,10.0,10.0,6.0,4.7,1.0,1.0,0.0,-18.0,1799.9999999999995,1104.5,2697.0372000000007,0.3733798807664431,560.7230422722976,31.75634742372826,104.00000000000001,181.35000000000002,143.00000000000003,99.28841245817868,22.296026024651137,24.62475880711293,46.92078483176407,52.367627626414624
17,8.0,47.0,20.0,100.0,103.0,3500.0,26.0,27.0,10.0,10.0,6.0,4.7,1.0,1.0,0.0,-17.0,1799.9999999999995,1104.5,2737.9852500000006,0.36543562798417834,562.3808385480552,31.863159602259703,105.00000000000001,182.35000000000002,143.00000000000003,99.66775788063804,22.160958330884146,25.965984699146116,48.12694303003026,51.54081485060777
45,8.0,46.0,20.0,100.0,103.0,3500.0,27.0,27.0,10.0,10.0,6.1000000000000005,4.6000000000000005,1.0,1.0,0.0,-18.0,1860.5,1058.0,2766.668905,0.3733798807664431,562.7614370633117,31.7667257971006,106.1,182.35000000000002,143.00000000000003,100.99759054889276,21.50176983149103,27.128193090987114,48.62996292247814,52.367627626414624
54,8.0,46.0,20.0,100.0,103.0,3500.0,27.0,27.0,10.0,11.0,6.1000000000000005,4.7,1.0,1.0,0.0,-17.0,1860.5,1104.5,2782.5998200000004,0.3733798807664431,561.966169709272,31.748116360605344,106.1,183.4,143.00000000000003,98.80513160475284,21.353927041769545,25.083576936568676,46.43750397833822,52.367627626414624
26,8.0,46.0,20.0,100.0,104.0,3500.0,27.0,27.0,10.0,11.0,6.2,4.7,1.0,1.0,0.0,-17.0,1921.9999999999998,1104.5,2805.4641600000004,0.373379880766443,563.1023339202884,31.743907738358008,106.2,183.45,144.00000000000003,98.73031915862704,20.943134750589888,25.053349595423853,45.996484346013744,52.7338348126133
24,8.0,46.0,20.0,100.0,109.0,3500.0,27.0,27.0,10.0,10.0,6.7,4.2,1.0,1.0,0.0,-11.0,2244.4999999999995,881.9999999999999,2900.644835,0.3733798807664431,554.9102824273367,31.790362503397454,106.7,182.45,149.0,103.986624886796,18.001517317148163,31.420236826041,49.42175414318916,54.564870743606846
43,8.0,56.0,13.0,100.0,84.0,3500.0,24.0,24.0,9.0,9.0,3.9000000000000004,3.6,1.0,1.0,0.0,-14.0,760.5,647.9999999999999,1931.6797500000005,0.47185369547407635,500.2848583062489,31.775927080546573,107.9,162.75,110.00000000000001,139.40226943482563,48.82527222339374,42.67591569831881,91.50118792171256,47.90108151311308
32,8.0,56.0,13.0,100.0,84.0,3500.0,24.0,24.0,9.0,9.0,4.0,3.6,1.0,1.0,0.0,-14.0,799.9999999999999,647.9999999999999,1934.0640000000005,0.47185369547407635,500.2848583062489,31.775927080546573,108.00000000000001,162.8,110.00000000000001,137.95046070450928,47.322379277592674,42.72699991380352,90.04937919139618,47.90108151311308
57,8.0,56.0,13.0,100.0,86.0,3500.0,25.0,25.0,9.0,9.0,4.1000000000000005,3.6,1.0,1.0,0.0,-14.0,840.5000000000001,647.9999999999999,2020.4671200000005,0.4718536954740763,500.63653108062783,31.832897945918152,110.10000000000002,163.85,112.00000000000001,135.39353359908182,43.894523417381365,42.72699991380352,86.62152333118487,48.77201026789694
71,8.0,56.0,14.0,97.0,86.0,3500.0,25.0,25.0,9.0,9.0,4.2,3.6,1.0,1.0,0.0,-16.0,881.9999999999999,647.9999999999999,2046.4801200000002,0.43814986008307094,512.744485460886,31.811405293768058,110.2,162.89999999999998,114.0,132.21689021647074,42.3938743673521,42.829188225343955,85.22306259269605,46.993827623774706
88,8.0,56.0,13.0,100.0,86.0,3500.0,25.0,25.0,9.0,9.0,4.2,3.2,1.0,1.0,0.0,-14.0,881.9999999999999,512.0,2020.4508799999999,0.47185369547407635,501.78305568617907,32.04895255671395,110.2,163.7,112.00000000000001,147.16855277460957,42.479687929890694,55.916854576821926,98.39654250671262,48.77201026789695
38,8.0,56.0,13.0,100.0,86.0,3500.0,25.0,25.0,9.0,9.0,4.2,3.6,1.0,1.0,0.0,-14.0,881.9999999999999,647.9999999999999,2022.9193600000006,0.4718536954740763,500.63653108062783,31.832897945918152,110.2,163.89999999999998,112.00000000000001,133.93627172706528,42.43726154536481,42.72699991380352,85.16426145916833,48.77201026789694
84,8.0,56.0,14.0,100.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.6,1.0,1.0,0.0,-14.0,1249.9999999999998,647.9999999999999,2233.5753000000004,0.43814986008307094,529.9558603570937,31.759655497984795,111.00000000000001,166.3,121.0,122.96271238422582,30.352392804129078,42.730906049599064,73.08329885372814,49.879413530497686
75,8.0,57.0,14.0,98.0,86.0,3500.0,25.0,25.0,9.0,9.0,4.2,3.6,1.0,1.0,0.0,-16.0,881.9999999999999,647.9999999999999,2077.7275200000004,0.43046302043249074,511.64932156887653,31.946778094414597,111.2,163.89999999999998,114.0,131.61376307442626,42.42323327844733,42.80819927919306,85.23143255764039,46.38233051678587
58,8.0,57.0,17.0,89.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.5,1.0,1.0,0.0,-10.0,1249.9999999999998,612.4999999999999,2293.6200000000003,0.35449895800322767,659.2849646672308,31.762176221474967,112.00000000000001,161.25,127.0,121.64603070369958,30.42580964949162,46.46394122490569,76.88975087439731,44.756279829302265
34,8.0,57.0,14.0,100.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.6,1.0,1.0,0.0,-10.0,1249.9999999999998,647.9999999999999,2253.6976,0.43046302043249074,523.0535712790485,31.76902493370521,112.00000000000001,166.3,121.0,122.34576550867905,30.252251272896306,42.86314588024684,73.11539715314315,49.230368355535916
87,8.0,52.0,20.0,97.0,109.0,3500.0,27.0,27.0,10.0,10.0,6.7,4.7,1.0,1.0,0.0,20.0,2244.4999999999995,1104.5,3017.5763100000004,0.3302975868318534,606.1067344807136,31.93904911929968,112.7,179.7,149.0,95.65980856767735,18.518516642990797,27.308932315227256,45.827448958218056,49.832359609459296
64,8.0,52.0,20.0,94.0,109.0,3500.0,27.0,27.0,10.0,10.0,6.7,4.7,1.0,1.0,0.0,-11.0,2244.4999999999995,1104.5,2967.1994099999997,0.3302975868318535,616.6967504149192,31.765341274058656,112.7,176.7,149.0,95.89376716192004,18.659106095351447,27.402301457109278,46.06140755246072,49.83235960945931
62,8.0,52.0,20.0,96.0,109.0,3500.0,27.0,27.0,10.0,10.0,6.7,4.7,1.0,1.0,0.0,-1.0,2244.4999999999995,1104.5,3000.7840100000003,0.33029758683185345,615.3235780191284,31.820357673563084,112.7,178.7,149.0,95.74724548874224,18.63354471032139,27.28134116896154,45.914885879282934,49.83235960945932
68,8.0,52.0,20.0,94.0,109.0,3500.0,27.0,27.0,10.0,10.0,6.7,4.5,1.0,1.0,0.0,-11.0,2244.4999999999995,1012.4999999999998,2965.5201800000004,0.3302975868318535,616.6967504149192,31.765341274058656,112.7,176.6,149.0,100.18374780597375,18.64018423492672,31.711203961587724,50.35138819651445,49.83235960945931
61,8.0,52.0,20.0,99.0,109.0,3500.0,27.0,27.0,10.0,10.0,6.7,5.0,1.0,1.0,0.0,-2.0,2244.4999999999995,1249.9999999999998,3053.679755,0.33029758683185345,611.5239189229784,31.743490743191558,112.7,181.85000000000002,149.0,93.38537075411075,18.719213284536153,24.833797860115293,43.55301114465145,49.832359609459296
0,8.0,52.0,20.0,109.0,110.0,3500.0,27.0,27.0,10.0,10.0,6.800000000000001,5.0,1.0,1.0,0.0,20.0,2312.0,1249.9999999999998,3246.9480000000003,0.33029758683185345,607.8850865694912,31.743143736327163,112.80000000000001,191.9,150.0,93.14506293273885,18.092322351216133,24.885935605556995,42.97825795677313,50.16680497596572
65,8.0,52.0,20.0,105.0,110.0,3500.0,27.0,27.0,10.0,10.0,6.800000000000001,5.0,1.0,1.0,0.0,0.0,2312.0,1249.9999999999998,3179.268000000001,0.33029758683185345,589.8234127783682,31.797504257057103,112.80000000000001,187.9,150.0,93.37106922892599,18.330001724088255,24.874262528871988,43.20426425296024,50.16680497596574
16,8.0,52.0,20.0,100.0,110.0,3500.0,27.0,27.0,10.0,10.0,6.800000000000001,5.0,1.0,1.0,0.0,-11.0,2312.0,1249.9999999999998,3094.6680000000006,0.33029758683185345,616.6225818904237,31.755190052706418,112.80000000000001,182.9,150.0,93.37832577937324,18.35243537592998,24.85908542747751,43.21152080340749,50.16680497596575
85,8.0,52.0,20.0,100.0,110.0,3500.0,27.0,27.0,10.0,10.0,6.800000000000001,4.7,1.0,1.0,0.0,20.0,2312.0,1104.5,3092.13,0.3302975868318535,615.7453260877121,31.916465549647917,112.80000000000001,182.75,150.0,95.66299606193063,18.129305082542903,27.366886003421968,45.49619108596487,50.16680497596576
8,8.0,52.0,20.0,104.0,110.0,3500.0,27.0,27.0,10.0,10.0,6.800000000000001,5.0,1.0,1.0,0.0,0.0,2312.0,1249.9999999999998,3162.3480000000004,0.33029758683185345,589.8234127783682,31.797504257057103,112.80000000000001,186.9,150.0,93.37106922892599,18.330001724088255,24.874262528871988,43.20426425296024,50.16680497596575
92,8.0,52.0,20.0,97.0,110.0,3500.0,27.0,27.0,10.0,10.0,6.800000000000001,4.7,1.0,1.0,0.0,-5.0,2312.0,1104.5,3041.37,0.3302975868318534,611.7421803285665,31.77571655475993,112.80000000000001,179.75,150.0,95.7324544593387,18.287556943566734,27.278092539806202,45.56564948337294,50.16680497596575
19,8.0,52.0,20.0,107.0,110.0,3500.0,27.0,27.0,10.0,10.0,6.800000000000001,5.0,1.0,1.0,0.0,17.0,2312.0,1249.9999999999998,3213.108,0.33029758683185345,602.7197694634687,31.752988840519507,112.80000000000001,189.9,150.0,93.30274632190985,18.21813709364674,24.917804252297373,43.13594134594411,50.16680497596574
89,8.0,58.0,17.0,89.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.6,1.0,1.0,0.0,-10.0,1249.9999999999998,647.9999999999999,2314.8163000000004,0.34838690700317204,671.0921290155798,31.762176221474967,113.00000000000001,161.3,127.0,117.37977998274144,30.458795409786465,42.73702239220161,73.19581780198807,44.18396218075337
18,8.0,56.0,16.0,100.0,103.0,3500.0,26.0,26.0,10.0,10.0,5.9,4.7,1.0,1.0,0.0,-16.0,1740.4999999999998,1104.5,2664.7474500000008,0.3833811275726871,552.7720897028942,31.785926859263373,113.90000000000002,173.3,135.0,100.10647838123248,22.818219896719775,26.873731597384825,49.6919514941046,50.41452688712789
51,8.0,59.0,17.0,89.0,93.0,3500.0,25.0,25.0,9.0,9.0,5.0,3.6,1.0,1.0,0.0,-3.0,1249.9999999999998,647.9999999999999,2335.3014000000003,0.3424820441726097,682.3231662092774,31.74171322666871,114.00000000000001,161.3,127.0,116.70889942549653,30.42643827930266,42.65390052727554,73.0803388065782,43.628560618918335
81,8.0,69.0,10.0,88.0,76.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,14.0,449.9999999999999,449.9999999999999,1608.5760000000002,0.4978398410219241,532.3257211836757,31.92150314462861,118.00000000000001,142.00000000000003,96.0,211.8285792391558,92.89834360468384,75.4338910576376,168.33223466232144,43.49634457683436
59,8.0,69.0,10.0,89.0,76.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.3000000000000003,1.0,1.0,0.0,-10.0,449.9999999999999,544.5,1632.9312000000002,0.4978398410219241,537.0704249949478,31.75811396996008,118.00000000000001,144.15000000000003,96.0,188.35500738709015,93.9520894296984,50.90657338055739,144.8586628102558,43.49634457683433
99,8.0,69.0,10.0,89.0,76.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.4000000000000004,1.0,1.0,0.0,-10.0,449.9999999999999,578.0,1633.4976000000001,0.4978398410219241,537.0704249949478,31.75811396996008,118.00000000000001,144.20000000000002,96.0,184.32845282350848,93.78184013036962,47.05026811630455,140.83210824667418,43.49634457683433
3,8.0,69.0,10.0,89.0,76.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.6,1.0,1.0,0.0,-10.0,449.9999999999999,647.9999999999999,1634.6304000000002,0.4978398410219241,537.0704249949478,31.75811396996008,118.00000000000001,144.3,96.0,179.7435578469496,93.78184013036962,42.46537313974567,136.24721327011528,43.49634457683433
9,8.0,69.0,10.0,88.0,76.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.1,1.0,1.0,0.0,14.0,449.9999999999999,480.49999999999994,1620.4704000000004,0.4978398410219241,532.3257211836757,31.797802730073116,118.00000000000001,143.05,96.0,198.2651268375289,92.9640019096345,61.80478035106003,154.76878226069454,43.49634457683436
33,8.0,69.0,11.0,84.0,76.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,14.0,449.9999999999999,449.9999999999999,1618.9600000000003,0.4525816736562946,621.8350650312499,31.84716950219603,118.00000000000001,140.0,98.0,209.9765400402565,92.95868008956269,75.63914338622011,168.5978234757828,41.37871656447372
1,8.0,70.0,10.0,85.0,76.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,1.0,0.0,15.0,449.9999999999999,449.9999999999999,1587.9360000000004,0.4907278432930393,566.5500492567888,31.773736882997678,119.00000000000001,139.0,96.0,214.775350353361,92.85433249852343,78.88535089189455,171.73968339041798,43.03566696294303
15,8.0,69.0,10.0,88.0,77.0,3500.0,24.0,24.0,9.0,9.0,3.2,3.6,1.0,1.0,0.0,-13.0,512.0,647.9999999999999,1683.61736,0.4978398410219241,525.6272290718058,31.80710414173363,120.2,144.4,97.0,167.0658013764207,79.78836264180394,43.32800723510705,123.116369876911,43.9494314995097
2,8.0,69.0,10.0,86.0,77.0,3500.0,24.0,24.0,9.0,8.0,3.2,3.0,1.0,1.0,0.0,-15.0,512.0,449.9999999999999,1645.1413400000001,0.4978398410219241,539.9384836343955,31.755617975733525,120.2,141.1,97.0,200.08354396167118,79.18892402400596,76.94518843815551,156.13411246216145,43.9494314995097
14,8.0,69.0,10.0,88.0,77.0,3500.0,24.0,24.0,9.0,8.0,3.2,3.0,1.0,1.0,0.0,-7.0,512.0,449.9999999999999,1668.4601400000001,0.4978398410219241,525.3152690395804,31.76809037244979,120.2,143.1,97.0,199.66721859965276,78.98261878664711,76.73516831349595,155.71778710014306,43.9494314995097
37,8.0,69.0,10.0,88.0,77.0,3500.0,24.0,24.0,9.0,9.0,3.2,3.3000000000000003,1.0,1.0,0.0,-14.0,512.0,544.5,1681.8684500000002,0.49783984102192413,524.79433717957,31.839206234672726,120.2,144.25000000000003,97.0,175.61154373534646,79.91527873715363,51.74683349868313,131.66211223583676,43.94943149950971
56,8.0,69.0,10.0,87.0,77.0,3500.0,24.0,24.0,9.0,9.0,3.2,3.1,1.0,1.0,0.0,-15.0,512.0,480.49999999999994,1669.04311,0.4978398410219241,530.6954836493649,31.822628951047818,120.2,143.15,97.0,186.45302980578694,79.1975052583299,63.30609304794735,142.50359830627724,43.9494314995097
7,8.0,69.0,10.0,89.0,80.0,3500.0,24.0,24.0,12.0,8.0,3.5,3.0,1.0,1.0,0.0,-15.0,612.4999999999999,449.9999999999999,1738.2125000000005,0.49783984102192397,500.27264428282575,31.75495049498658,120.50000000000001,144.25000000000003,100.0,186.9725252294367,64.0192307112432,77.6446022506578,141.663832961901,45.308692267535726
