,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
99,8.0,39.0,22.0,99.0,104.0,3500.0,24.0,24.0,10.0,11.0,3.9000000000000004,4.7,1.0,1.0,0.0,20.0,2452.51836,0.4003607113113376,531.6501034155109,31.823909861444985,90.89999999999999,182.3,148.00000000000003,125.88001957526741,45.90329142805858,22.906320198468965,68.80961162652754,57.07040794873987
65,8.0,39.0,22.0,99.0,104.0,3500.0,24.0,24.0,10.0,10.0,3.9000000000000004,4.7,1.0,1.0,0.0,-17.0,2439.0651600000006,0.4003607113113376,532.321765977375,31.80156990017859,90.89999999999999,181.3,148.00000000000003,126.53864923332914,46.122973334024216,23.345267950565063,69.46824128458928,57.07040794873987
79,8.0,40.0,22.0,97.0,104.0,3500.0,24.0,24.0,10.0,11.0,3.9000000000000004,4.7,1.0,1.0,0.0,20.0,2452.2963600000003,0.3903516935285542,541.4218161018855,31.894139092838294,91.89999999999999,180.3,148.00000000000003,125.04066065396171,46.179935788065926,22.849587369106107,69.02952315717204,56.01113749678967
36,8.0,46.0,18.0,98.0,104.0,3500.0,24.0,24.0,12.0,10.0,4.0,4.7,1.0,1.1,0.0,-16.0,2364.6420000000003,0.41486653418493674,502.50539001073946,31.746115839304245,98.0,172.35,140.0,126.22762857241965,46.8986835501668,23.902702077261782,70.80138562742859,55.42624294499107
41,8.0,46.0,18.0,100.0,104.0,3500.0,24.0,24.0,13.0,11.0,4.0,5.2,1.0,1.0,0.0,-15.0,2409.2320000000004,0.41486653418493674,501.44371579576904,31.829190074323247,98.0,175.6,140.0,124.01177302335425,46.999064114258594,21.586465964104537,68.58553007836313,55.42624294499112
52,8.0,46.0,20.0,97.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,5.7,1.0,1.0,0.0,-16.0,2509.8192000000004,0.3733798807664431,560.5277016514767,31.875688280429138,98.0,177.85,144.00000000000003,117.26896888174963,47.73689777316905,16.798236295967264,64.53513406913632,52.733834812613324
58,8.0,46.0,18.0,97.0,104.0,3500.0,24.0,24.0,10.0,10.0,4.0,4.7,1.0,1.0,0.0,-17.0,2350.9220000000005,0.41486653418493674,502.8436005073028,31.78721132055368,98.0,171.35,140.0,126.01423357409365,47.023920032427434,23.564070596675148,70.58799062910258,55.42624294499107
64,8.0,46.0,18.0,99.0,104.0,3500.0,24.0,24.0,10.0,11.0,4.0,4.7,1.0,1.0,0.0,20.0,2392.0820000000003,0.41486653418493674,508.06463003435545,31.758713529593486,98.0,174.35,140.0,125.4527367035345,46.73472285143173,23.291770907111697,70.02649375854342,55.42624294499107
67,8.0,46.0,20.0,98.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.0,1.0,1.0,0.0,-16.0,2526.0480000000007,0.3733798807664431,564.9925066802945,31.75273620984543,98.0,179.00000000000003,144.00000000000003,115.49764005899054,47.77156117279353,14.992244073583711,62.763805246377245,52.7338348126133
81,8.0,46.0,20.0,100.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.4,1.0,1.0,0.0,-13.0,2557.094400000001,0.373379880766443,565.6312076821905,31.80663531248808,98.0,181.20000000000002,144.00000000000003,113.33153344699292,47.667476094177594,12.930222540202026,60.59769863437962,52.7338348126133
80,8.0,46.0,18.0,99.0,104.0,3500.0,24.0,24.0,13.0,11.0,4.0,5.2,1.0,1.0,0.0,-17.0,2395.5120000000006,0.41486653418493674,503.07414077380423,31.75942517409345,98.0,174.6,140.0,124.07572035191714,47.042400542332125,21.607076864593953,68.64947740692608,55.42624294499107
87,8.0,46.0,18.0,100.0,104.0,3500.0,24.0,24.0,13.0,12.0,4.0,5.2,1.0,1.0,0.0,-15.0,2422.952,0.41486653418493674,501.44371579576904,31.75897034603368,98.0,176.6,140.0,123.78890263458246,46.951687998046935,21.410971691544397,68.36265968959134,55.42624294499112
89,8.0,46.0,20.0,97.0,104.0,3500.0,24.0,24.0,12.0,11.0,4.0,5.7,1.0,1.0,0.0,-16.0,2495.7072000000003,0.3733798807664431,560.5277016514767,31.944272858803682,98.0,176.85,144.00000000000003,117.45268912370489,47.78427388938071,16.934580421710848,64.71885431109155,52.733834812613324
90,8.0,46.0,20.0,99.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.2,1.0,1.0,0.0,-15.0,2541.5712000000003,0.3733798807664431,566.8356194084955,31.864009429607474,98.0,180.10000000000002,144.00000000000003,113.94887490228922,47.6192386824896,13.595801407186311,61.21504008967591,52.7338348126133
92,8.0,46.0,18.0,100.0,104.0,3500.0,24.0,24.0,13.0,12.0,4.0,5.1000000000000005,1.0,1.0,0.0,-15.0,2422.266,0.41486653418493674,501.44371579576904,31.75897034603368,98.0,176.55,140.0,124.15579758138162,46.951687998046935,21.77786663834356,68.7295546363905,55.42624294499112
