,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
20,9.0,30.0,17.0,100.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1198.7855000000002,0.5987093512943401,502.9920085233009,31.990240580589273,79.0,170.5,89.0,230.08618897223334,117.36109029670884,71.63733143066436,188.9984217273732,41.08776724486015
48,9.0,30.0,17.0,97.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1170.6615000000002,0.5987093512943401,501.8449052608416,31.897049482838295,79.0,166.5,89.0,232.90959165966274,118.51962775234585,73.30219666245675,191.82182441480262,41.08776724486011
38,9.0,32.0,17.0,100.0,55.0,3500.0,23.0,23.0,13.0,11.0,3.0,4.0,1.0,1.0,0.0,0.0,1236.3435000000002,0.5612900168384438,503.6289835560446,31.74707980091731,81.0,171.5,89.0,228.86136582468913,117.82082730848231,71.86894074183267,189.68976805031497,39.17159777437414
54,9.0,32.0,17.0,100.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1221.9255,0.5612900168384438,516.3813041962586,31.984049320617352,81.0,169.5,89.0,228.91586202673975,118.36312555516035,71.38113869720524,189.7442642523656,39.17159777437414
90,9.0,31.0,22.0,101.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1919.0430000000003,0.44771520404708715,516.4544124024111,32.10757750307993,83.0,183.50000000000003,126.0,175.01308764115208,77.95417495823617,50.145764993162125,128.09993995139828,46.91314768975379
87,9.0,31.0,22.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1908.5850000000003,0.44771520404708715,516.4544124024111,32.10757750307993,83.0,182.50000000000003,126.0,175.0130876411521,77.95417495823617,50.145764993162125,128.09993995139828,46.91314768975382
16,9.0,35.0,14.0,97.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1119.0060000000003,0.6231464676737009,508.5567962975337,31.754203069062893,84.0,160.5,83.0,236.77380214985826,121.91010907167801,75.3945716998384,197.30468077151642,39.46912137834187
53,9.0,35.0,15.0,100.0,55.0,3500.0,23.0,23.0,13.0,11.0,3.0,4.0,1.0,1.0,0.0,0.0,1195.95,0.5816033698287875,506.3343542507661,31.860997816941747,84.0,167.5,84.99999999999999,232.27061715348333,120.13633183000087,73.72594804219806,193.86227987219894,38.408337281284425
60,9.0,32.0,22.0,101.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1942.1640000000004,0.43372410392061567,552.6179728258163,32.08500077124395,84.0,183.50000000000003,126.0,174.11054944656107,77.95417495823617,50.332559497255424,128.2867344554916,45.82381499106948
63,9.0,32.0,22.0,110.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,2037.4200000000003,0.4337241039206157,504.6106199106159,32.504834601154556,84.0,192.5,126.0,173.05764982906868,76.80489630957413,50.428938528425036,127.23383483799917,45.82381499106949
