,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
0,13.0,39.0,10.0,87.0,122.0,3500.0,13.0,14.0,18.0,17.0,3.0,3.0,1.0,1.0,13.0,-20.0,449.9999999999999,449.9999999999999,3160.3520000000003,0.5420268091599647,1401.3892942786074,31.771302436267835,104.00000000000001,214.00000000000003,142.0,283.4634430423881,98.07805655899976,143.2210244029702,241.29908096196993,42.16436208041821
85,13.0,39.0,10.0,86.0,124.0,3500.0,13.0,13.0,18.0,17.0,3.0,3.0,1.0,1.1,14.0,-20.0,449.9999999999999,449.9999999999999,3174.9120000000003,0.5420268091599647,1427.3552708864183,31.921434878648306,104.00000000000001,212.00000000000003,144.0,280.2983141429287,96.04339446008785,141.4966933477688,237.54008780785665,42.758226335071996
5,13.0,39.0,10.0,86.0,124.0,3500.0,13.0,13.0,18.0,17.0,3.0,3.0,1.0,1.0,14.0,-20.0,449.9999999999999,449.9999999999999,3174.9120000000003,0.5420268091599647,1427.3552708864183,31.921434878648306,104.00000000000001,212.00000000000003,144.0,280.2983141429287,96.04339446008785,141.4966933477688,237.54008780785665,42.758226335071996
98,13.0,39.0,10.0,86.0,124.0,3500.0,13.0,13.0,18.0,17.0,3.0,3.0,1.0,1.2000000000000002,14.0,-20.0,449.9999999999999,449.9999999999999,3174.9120000000003,0.5420268091599647,1427.3552708864183,31.921434878648306,104.00000000000001,212.00000000000003,144.0,280.2983141429287,96.04339446008785,141.4966933477688,237.54008780785665,42.758226335071996
52,13.0,39.0,10.0,87.0,122.0,3500.0,13.0,14.0,18.0,17.0,3.0,3.0,1.0,1.2000000000000002,13.0,-20.0,449.9999999999999,449.9999999999999,3160.3520000000003,0.5420268091599647,1401.3892942786074,31.771302436267835,104.00000000000001,214.00000000000003,142.0,283.4634430423881,98.07805655899976,143.2210244029702,241.29908096196993,42.16436208041821
24,13.0,39.0,10.0,87.0,124.0,3500.0,13.0,13.0,18.0,17.0,3.0,3.1,1.0,1.0,14.0,-20.0,449.9999999999999,480.49999999999994,3207.9456000000005,0.5420268091599647,1407.843844203948,31.812359237296487,104.10000000000001,214.00000000000003,144.0,269.28527106393176,96.22779876889176,130.29924595996806,226.52704472885983,42.758226335071974
81,13.0,39.0,10.0,87.0,124.0,3500.0,13.0,13.0,18.0,17.0,3.0,3.1,1.0,1.2000000000000002,14.0,-20.0,449.9999999999999,480.49999999999994,3207.9456000000005,0.5420268091599647,1407.843844203948,31.812359237296487,104.10000000000001,214.00000000000003,144.0,269.28527106393176,96.22779876889176,130.29924595996806,226.52704472885983,42.758226335071974
6,13.0,39.0,10.0,88.0,122.0,3500.0,13.0,14.0,18.0,17.0,3.0,3.1,1.0,1.2000000000000002,13.0,-20.0,449.9999999999999,480.49999999999994,3192.9552,0.5420268091599648,1397.8566409289613,31.74866926569555,104.10000000000001,216.0,142.0,272.4131705228814,98.07805655899976,132.17075188346342,230.2488084424632,42.164362080418215
71,13.0,39.0,10.0,88.0,122.0,3500.0,13.0,14.0,18.0,17.0,3.0,3.1,1.0,1.1,13.0,-20.0,449.9999999999999,480.49999999999994,3192.9552,0.5420268091599648,1397.8566409289613,31.74866926569555,104.10000000000001,216.0,142.0,272.4131705228814,98.07805655899976,132.17075188346342,230.2488084424632,42.164362080418215
70,13.0,39.0,10.0,87.0,124.0,3500.0,13.0,13.0,18.0,17.0,3.0,3.1,1.0,1.1,14.0,-20.0,449.9999999999999,480.49999999999994,3207.9456000000005,0.5420268091599647,1407.843844203948,31.812359237296487,104.10000000000001,214.00000000000003,144.0,269.28527106393176,96.22779876889176,130.29924595996806,226.52704472885983,42.758226335071974
55,13.0,39.0,10.0,88.0,122.0,3500.0,13.0,14.0,18.0,17.0,3.0,3.1,1.0,1.0,13.0,-20.0,449.9999999999999,480.49999999999994,3192.9552,0.5420268091599648,1397.8566409289613,31.74866926569555,104.10000000000001,216.0,142.0,272.4131705228814,98.07805655899976,132.17075188346342,230.2488084424632,42.164362080418215
45,13.0,39.0,10.0,88.0,125.0,3500.0,13.0,14.0,18.0,17.0,3.0,3.4000000000000004,1.1,1.2000000000000002,14.0,-20.0,449.9999999999999,578.0,3269.8080000000004,0.5420268091599647,1385.388996951328,31.754804715364024,104.4,216.0,145.0,250.1701532875228,97.65480329056567,109.46019153455823,207.11499482512392,43.055158462398914
48,13.0,39.0,10.0,88.0,125.0,3500.0,13.0,14.0,18.0,17.0,3.0,3.4000000000000004,1.0,1.1,14.0,-20.0,449.9999999999999,578.0,3269.8080000000004,0.5420268091599647,1385.388996951328,31.754804715364024,104.4,216.0,145.0,250.1701532875228,97.65480329056567,109.46019153455823,207.11499482512392,43.055158462398914
