,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
95,9.0,60.0,17.0,80.0,85.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.6,1.1,1.0,17.0,0.0,449.9999999999999,647.9999999999999,4330.2672,0.29935467564717005,2204.5303384529752,31.900900158085904,159.6,228.0,119.00000000000001,247.8251556620017,85.72520661234773,111.7177598480507,197.44296646039845,50.38218920160323
23,9.0,61.0,17.0,80.0,85.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.6,1.0,1.0,16.0,0.0,449.9999999999999,647.9999999999999,4357.399200000001,0.29444722194803613,2200.1173467472313,31.80112304132578,160.6,228.0,119.00000000000001,247.19718970167548,86.32009885631501,111.7099467385335,198.0300455948485,49.167144106826946
12,9.0,64.0,16.0,80.0,79.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.0,1.3,1.0,-8.0,0.0,449.9999999999999,449.9999999999999,4052.8320000000003,0.2981853214454233,2165.37818525569,31.742318041405678,163.0,224.0,111.0,292.4473978357803,84.97802205271215,160.74509344012603,245.7231154928382,46.72428234294212
9,9.0,64.0,16.0,80.0,81.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.2,1.3,1.0,14.0,0.0,449.9999999999999,512.0,4130.9184000000005,0.2981853214454233,2159.4117653928142,32.25350167074693,163.20000000000002,224.0,113.0,276.4987887740946,85.45010642205435,143.48252104796398,228.93262747001833,47.56616130407621
14,9.0,64.0,16.0,80.0,83.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.4000000000000004,1.0,1.0,15.0,0.0,449.9999999999999,578.0,4209.184,0.2981853214454233,2143.5589032412013,32.03767209891084,163.39999999999998,224.0,115.0,258.79256238095286,86.16343808562172,124.22108403012085,210.38452211574258,48.40804026521032
80,9.0,64.0,16.0,80.0,84.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.5,1.0,1.0,16.0,0.0,449.9999999999999,612.4999999999999,4248.384,0.2981853214454233,2158.8091628568873,32.00109964114958,163.5,224.0,116.0,254.95399418780005,86.16343808562172,119.96157635640098,206.1250144420227,48.82897974577735
25,9.0,64.0,16.0,80.0,85.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.6,1.0,1.0,16.0,0.0,449.9999999999999,647.9999999999999,4287.6288,0.2981853214454233,2156.3381644652322,31.967651954803234,163.6,224.0,117.0,249.03556756587236,86.20043460897233,113.58521373055558,199.7856483395279,49.24991922634443
13,9.0,64.0,16.0,80.0,87.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.8000000000000003,1.0,1.0,-19.0,0.0,449.9999999999999,721.9999999999999,4366.2528,0.2981853214454233,2099.191102904715,31.828551344952043,163.8,224.0,119.00000000000001,242.6398824441403,86.70885558384232,105.83922867281949,192.5480842566618,50.09179818747852
82,9.0,64.0,16.0,81.0,90.0,3500.0,8.0,8.0,40.0,40.0,3.0,4.0,1.0,1.0,20.0,0.0,449.9999999999999,799.9999999999999,4521.808,0.29818532144542337,2062.133951718785,31.7895001622584,164.0,226.0,122.0,231.6932001040882,87.14061344349514,93.19797003141336,180.3385834749085,51.35461662917967
39,9.0,64.0,16.0,81.0,92.0,3500.0,8.0,8.0,40.0,40.0,3.0,4.2,1.0,1.0,21.0,0.0,449.9999999999999,881.9999999999999,4601.540800000001,0.29818532144542337,1998.5567792708107,31.796177180790202,164.20000000000002,226.0,124.0,224.68154291736647,87.25584496492843,85.2292023621243,172.4850473270527,52.19649559031375
21,9.0,64.0,16.0,81.0,92.0,3500.0,8.0,8.0,40.0,40.0,3.0,4.3,1.0,1.0,21.0,0.0,449.9999999999999,924.4999999999998,4604.3432,0.2981853214454233,1999.3925694247444,31.80937612963889,164.3,226.0,124.0,219.91631102494864,87.36541215708606,80.35440327754885,167.7198154346349,52.19649559031373
27,9.0,64.0,16.0,81.0,94.0,3500.0,8.0,8.0,40.0,40.0,3.0,4.4,1.0,1.0,-22.0,0.0,449.9999999999999,968.0,4681.4544,0.2981853214454233,1939.0232803832255,32.0737698226668,164.39999999999998,226.0,126.0,216.84255918441303,87.38130798010428,76.42287665286091,163.8041846329652,53.038374551447845
76,9.0,65.0,16.0,80.0,85.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.6,1.3,1.0,16.0,0.0,449.9999999999999,647.9999999999999,4313.8368,0.29359785496164753,2151.242329063136,31.94003066801181,164.6,224.0,117.0,248.79830670580694,87.20766994250918,113.45563526063708,200.66330520314625,48.135001502660685
26,9.0,65.0,16.0,80.0,89.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.9000000000000004,1.1,1.0,-19.0,0.0,449.9999999999999,760.5,4469.4496,0.29359785496164753,2074.119427880591,31.822470504582405,164.89999999999998,224.0,121.0,234.83887379543023,87.9904614172086,97.06776979854692,185.05823121575554,49.780642579674705
56,9.0,65.0,16.0,81.0,92.0,3500.0,8.0,8.0,40.0,40.0,3.0,4.3,1.3,1.0,20.0,0.0,449.9999999999999,924.4999999999998,4632.367200000001,0.29359785496164753,1994.2967340226483,31.740837446971735,165.3,226.0,124.0,219.730866528387,88.38072035490757,80.33527278604421,168.71599314095178,51.014873387435216
61,9.0,64.0,17.0,82.0,104.0,3500.0,8.0,8.0,40.0,40.0,3.0,5.5,1.0,1.0,27.0,0.0,449.9999999999999,1512.4999999999998,5298.648,0.2806450084192219,1891.0854502642946,31.783568137963226,165.5,232.0,138.0,192.24273902139575,88.32973805666064,50.79844714430124,139.1281852009619,53.11455382043387
99,9.0,66.0,16.0,80.0,85.0,3500.0,8.0,8.0,40.0,40.0,3.0,3.6,1.3,1.0,15.0,0.0,449.9999999999999,647.9999999999999,4340.044800000001,0.2891494026137438,2210.039957537919,31.895261060704442,165.6,224.0,117.0,247.72507853069442,87.20766994250918,113.45563526063708,200.66330520314625,47.06177332754815
54,9.0,64.0,19.0,82.0,109.0,3500.0,8.0,8.0,40.0,40.0,3.0,5.9,1.0,1.0,28.0,0.0,449.9999999999999,1740.4999999999998,5852.952,0.2511034285856196,2051.360186823586,31.98188464018434,165.9,240.0,147.0,182.01562265421276,89.8156900236979,44.192265258488455,134.00795528218634,48.00766737202641
64,9.0,64.0,18.0,82.0,109.0,3500.0,8.0,8.0,40.0,40.0,3.0,5.9,1.0,1.0,29.0,0.0,449.9999999999999,1740.4999999999998,5677.098000000001,0.26505361906259844,1891.5310466742417,32.07824575725692,165.9,236.00000000000003,145.00000000000003,185.04527538147067,89.74321932256666,44.01113445122111,133.75435377378778,51.290921607682904
