,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
2,8.0,66.0,18.0,78.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.0,1.0,1.0,19.0,-4.0,799.9999999999999,799.9999999999999,5235.336,0.2891494026137437,1666.0444900625848,31.83620553412276,178.0,228.0,129.0,327.67869810549865,53.00881338083209,88.47085211367938,141.47966549451147,186.19903261098716
38,8.0,66.0,18.0,78.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.0,1.1,1.0,19.0,-4.0,799.9999999999999,799.9999999999999,5235.336,0.2891494026137437,1666.0444900625848,31.83620553412276,178.0,228.0,129.0,327.67869810549865,53.00881338083209,88.47085211367938,141.47966549451147,186.19903261098716
45,8.0,66.0,22.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.0,19.0,0.0,799.9999999999999,968.0,6012.4367999999995,0.23657678395669948,2032.8842263985616,31.827186355305273,178.39999999999998,246.0,137.0,272.77727016139,53.59653097038052,74.7203663294738,128.31689729985433,144.46037286153566
41,8.0,66.0,23.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.0,19.0,-1.0,799.9999999999999,968.0,6199.4,0.22629083682814732,2225.3597200436357,32.19056888223676,178.39999999999998,250.0,139.0,265.8653261391268,54.06599005752933,75.26568932234314,129.33167937987247,136.53364675925437
32,8.0,66.0,23.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.1,19.0,-2.0,799.9999999999999,968.0,6199.4,0.22629083682814732,2225.3597200436357,32.367127631690416,178.39999999999998,250.0,139.0,265.8653261391268,54.06599005752933,75.26568932234314,129.33167937987247,136.53364675925437
43,8.0,66.0,22.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.0,19.0,-2.0,799.9999999999999,968.0,6012.4367999999995,0.23657678395669945,2034.0533115477683,32.04352529087857,178.39999999999998,246.0,137.0,272.77727016138994,53.59653097038052,74.7203663294738,128.31689729985433,144.46037286153563
83,8.0,66.0,23.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.1,1.0,19.0,-1.0,799.9999999999999,968.0,6199.4,0.22629083682814732,2225.3597200436357,32.19056888223676,178.39999999999998,250.0,139.0,265.8653261391268,54.06599005752933,75.26568932234314,129.33167937987247,136.53364675925437
16,8.0,66.0,21.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.0,19.0,-2.0,799.9999999999999,968.0,5828.3279999999995,0.24784234509749467,2000.9163498846485,31.890230814666317,178.39999999999998,242.0,135.0,281.0759533648884,53.207870992593335,74.56632458738133,127.77419557997467,153.30175778491372
60,8.0,66.0,20.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.1,1.0,19.0,-2.0,799.9999999999999,968.0,5647.073599999999,0.2602344623523694,1879.8489306326753,31.849454765399912,178.39999999999998,238.0,133.0,290.6985045243657,53.124823237573096,74.35731759361211,127.4821408311852,163.21636369318054
27,8.0,66.0,22.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.1,19.0,0.0,799.9999999999999,968.0,6012.4367999999995,0.23657678395669948,2032.8842263985616,31.827186355305273,178.39999999999998,246.0,137.0,272.77727016139,53.59653097038052,74.7203663294738,128.31689729985433,144.46037286153566
46,8.0,66.0,19.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.1,1.0,19.0,-2.0,799.9999999999999,968.0,5468.673599999999,0.2739310130024941,1735.7996826795315,31.743281742868213,178.39999999999998,234.0,131.0,301.03092828587705,53.085896855928226,73.54476699000949,126.63066384593772,174.40026443993935
90,8.0,66.0,22.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.1,1.1,19.0,0.0,799.9999999999999,968.0,6012.4367999999995,0.23657678395669948,2032.8842263985616,31.827186355305273,178.39999999999998,246.0,137.0,272.77727016139,53.59653097038052,74.7203663294738,128.31689729985433,144.46037286153566
11,8.0,66.0,20.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.0,19.0,-2.0,799.9999999999999,968.0,5647.073599999999,0.2602344623523694,1879.8489306326753,31.849454765399912,178.39999999999998,238.0,133.0,290.6985045243657,53.124823237573096,74.35731759361211,127.4821408311852,163.21636369318054
57,8.0,66.0,22.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.1,19.0,-2.0,799.9999999999999,968.0,6012.4367999999995,0.23657678395669945,2034.0533115477683,32.04352529087857,178.39999999999998,246.0,137.0,272.77727016138994,53.59653097038052,74.7203663294738,128.31689729985433,144.46037286153563
8,8.0,66.0,18.0,80.0,93.0,3500.0,9.0,9.0,45.0,47.0,4.0,4.4,1.0,1.0,19.0,-2.0,799.9999999999999,968.0,5339.1552,0.2891494026137437,1629.849621666625,31.885693871760914,178.39999999999998,232.0,129.0,314.8157394179911,53.06764883634017,73.75003350099243,126.8176823373326,187.9980570806585
7,8.0,66.0,19.0,79.0,93.0,3500.0,9.0,9.0,45.0,46.0,4.0,4.4,1.0,1.0,19.0,-2.0,799.9999999999999,968.0,5468.673599999999,0.2739310130024941,1735.7996826795315,31.743281742868213,178.39999999999998,234.0,131.0,301.03092828587705,53.085896855928226,73.54476699000949,126.63066384593772,174.40026443993935
